frame,time_s,raw_x,raw_y,mm_per_pixel,tracking_source,tracking_confidence,tags_tracked,tag_ids,tag_sources,pose_x,pose_y,pose_z,pose_err,video_frame
2,1.1167,546.91,490.45,0.118822,apriltag,1.0,1,5,5:apriltag,0.722,-55.081,170.118,0.0,268
3,1.1208,544.0,463.0,0.118822,opencv,0.967,1,5,5:opencv,0.475,-59.055,,,269
4,1.125,543.87,445.52,0.118624,apriltag,1.0,1,5,5:apriltag,0.455,-60.825,171.468,0.0,270
5,1.1292,546.01,444.23,0.120096,apriltag,1.0,1,5,5:apriltag,0.706,-61.606,173.382,0.0,271
6,1.1333,547.04,450.16,0.119569,apriltag,1.0,1,5,5:apriltag,0.811,-60.789,172.923,0.0,272
7,1.1375,545.53,460.76,0.118671,apriltag,1.0,1,5,5:apriltag,0.631,-59.04,171.527,0.0,273
8,1.1417,543.91,477.18,0.119074,apriltag,1.0,1,5,5:apriltag,0.412,-57.59,173.026,0.0,274
9,1.1458,546.22,498.67,0.118408,apriltag,1.0,1,5,5:apriltag,0.516,-55.464,174.454,0.0,275
10,1.15,546.81,521.72,0.119585,apriltag,1.0,1,5,5:apriltag,0.821,-52.33,173.105,0.0,276
11,1.1542,548.0,547.0,0.119585,opencv,0.967,1,5,5:opencv,0.957,-49.389,,,277
12,1.1583,549.0,573.0,0.119585,opencv,0.933,1,5,5:opencv,1.076,-46.279,,,278
13,1.1625,550.96,601.14,0.120399,apriltag,1.0,1,5,5:apriltag,1.209,-44.03,177.795,0.0,279
14,1.1667,549.5,626.5,0.120399,opencv,0.967,1,5,5:opencv,1.144,-40.153,,,280
15,1.1708,553.62,652.36,0.118663,apriltag,1.0,1,5,5:apriltag,1.455,-36.934,174.299,0.0,281
16,1.175,555.62,677.82,0.119491,apriltag,1.0,1,5,5:apriltag,1.659,-33.685,173.372,0.0,282
17,1.1792,554.0,705.5,0.119491,opencv,0.967,1,5,5:opencv,1.673,-30.411,,,283
18,1.1833,554.0,732.5,0.119491,opencv,0.933,1,5,5:opencv,1.673,-27.184,,,284
19,1.1875,554.0,759.5,0.119491,opencv,0.9,1,5,5:opencv,1.673,-23.958,,,285
20,1.1917,555.0,786.5,0.119491,opencv,0.867,1,5,5:opencv,1.792,-20.732,,,286
21,1.1958,557.0,812.5,0.119491,opencv,0.833,1,5,5:opencv,2.031,-17.625,,,287
22,1.2,558.0,839.5,0.119491,opencv,0.8,1,5,5:opencv,2.151,-14.399,,,288
23,1.2042,559.0,865.5,0.119491,opencv,0.767,1,5,5:opencv,2.27,-11.292,,,289
24,1.2083,560.0,892.5,0.119491,opencv,0.733,1,5,5:opencv,2.39,-8.066,,,290
25,1.2125,560.0,918.5,0.119491,opencv,0.7,1,5,5:opencv,2.39,-4.959,,,291
26,1.2167,562.0,944.5,0.119491,opencv,0.667,1,5,5:opencv,2.629,-1.852,,,292
27,1.2208,563.0,970.5,0.119491,opencv,0.633,1,5,5:opencv,2.748,1.255,,,293
28,1.225,564.0,996.5,0.119491,opencv,0.6,1,5,5:opencv,2.868,4.361,,,294
29,1.2292,565.0,1022.5,0.119491,opencv,0.567,1,5,5:opencv,2.987,7.468,,,295
30,1.2333,566.0,1048.5,0.119491,opencv,0.533,1,5,5:opencv,3.107,10.575,,,296
31,1.2375,567.0,1075.5,0.119491,opencv,0.5,1,5,5:opencv,3.226,13.801,,,297
32,1.2417,567.0,1102.5,0.119491,opencv,0.467,1,5,5:opencv,3.226,17.028,,,298
33,1.2458,568.0,1128.5,0.119491,opencv,0.433,1,5,5:opencv,3.346,20.134,,,299
34,1.25,570.0,1154.5,0.119491,opencv,0.4,1,5,5:opencv,3.585,23.241,,,300
35,1.2542,571.0,1181.5,0.119491,opencv,0.367,1,5,5:opencv,3.704,26.467,,,301
36,1.2583,572.0,1207.5,0.119491,opencv,0.333,1,5,5:opencv,3.824,29.574,,,302
37,1.2625,573.0,1234.5,0.119491,opencv,0.3,1,5,5:opencv,3.943,32.8,,,303
38,1.2667,574.0,1260.5,0.119491,opencv,0.267,1,5,5:opencv,4.063,35.907,,,304
39,1.2708,575.0,1286.5,0.119491,opencv,0.233,1,5,5:opencv,4.182,39.014,,,305
40,1.275,576.0,1313.5,0.119491,opencv,0.2,1,5,5:opencv,4.302,42.24,,,306
41,1.2792,578.0,1339.5,0.119491,opencv,0.167,1,5,5:opencv,4.541,45.347,,,307
