millis_ms,t,position,velocity,acceleration
0,0.000000000,0.000000000,0.000000000,0.000000000
10,0.017499999,0.035000831,2.000000000,-0.000000000
20,0.034999998,0.070000004,2.000000000,0.000000000
30,0.052499998,0.104999997,2.000000000,0.000000000
40,0.069999997,0.140000982,2.000000000,-0.000000000
50,0.087499996,0.175000135,2.000000000,0.000000000
60,0.104999995,0.210000012,2.000000000,-0.000000000
70,0.122499995,0.244999995,2.000000000,0.000000000
80,0.139999994,0.279999992,2.000000000,-0.000000000
90,0.157499993,0.314999990,2.000000000,0.000000000
100,0.174999992,0.350001152,2.000000000,0.000000000
110,0.192499991,0.385000163,2.000000000,0.000000000
120,0.209999991,0.420000001,2.000000000,-0.000000000
130,0.227499990,0.454999986,2.000000000,0.000000000
140,0.244999989,0.490000578,2.000000000,-0.000000000
150,0.262499988,0.524999984,2.000000000,-0.000000000
160,0.279999987,0.559999981,2.000000000,0.000000000
170,0.297499987,0.594999937,2.000000000,0.000000000
180,0.314999986,0.629999563,2.000000000,0.000000000
190,0.332499985,0.664999980,2.000000000,0.000000000
200,0.349999984,0.699999979,2.000000000,0.000000000
210,0.367499984,0.734999977,2.000000000,0.000000000
220,0.384999983,0.769999971,2.000000000,-0.000000000
230,0.402499982,0.804999931,2.000000000,0.000000000
240,0.419999981,0.839999647,2.000000000,0.000000000
250,0.437499980,0.874999973,2.000000000,0.000000000
260,0.454999980,0.909999972,2.000000000,-0.000000000
270,0.472499979,0.944999925,2.000000000,0.000000000
280,0.489999978,0.979999969,2.000000000,0.000000000
290,0.507499977,0.985000020,-2.000000000,-0.000000000
300,0.524999977,0.949999940,-2.000000000,0.000000000
310,0.542499976,0.915000032,-2.000000000,0.000000000
320,0.559999975,0.880000034,-2.000000000,0.000000000
330,0.577499974,0.844999604,-2.000000000,0.000000000
340,0.594999973,0.809999977,-2.000000000,-0.000000000
350,0.612499973,0.775000030,-2.000000000,0.000000000
360,0.629999972,0.740000038,-2.000000000,0.000000000
370,0.647499971,0.705000039,-2.000000000,-0.000000000
380,0.664999970,0.670000041,-2.000000000,-0.000000000
390,0.682499969,0.634999495,-2.000000000,-0.000000000
400,0.699999969,0.599999978,-2.000000000,0.000000000
410,0.717499968,0.565000041,-2.000000000,0.000000000
420,0.734999967,0.530000045,-2.000000000,-0.000000000
430,0.752499966,0.495000120,-2.000000000,-0.000000000
440,0.769999966,0.460000047,-2.000000000,0.000000000
450,0.787499965,0.425000057,-2.000000000,-0.000000000
460,0.804999964,0.390000177,-2.000000000,0.000000000
470,0.822499963,0.355000962,-2.000000000,0.000000000
480,0.839999962,0.320000051,-2.000000000,0.000000000
490,0.857499962,0.285000052,-2.000000000,-0.000000000
500,0.874999961,0.250000055,-2.000000000,0.000000000
510,0.892499960,0.215000068,-2.000000000,0.000000000
520,0.909999959,0.180000161,-2.000000000,0.000000000
530,0.927499959,0.145000806,-2.000000000,0.000000000
540,0.944999958,0.110000058,-2.000000000,0.000000000
550,0.962499957,0.075000062,-2.000000000,-0.000000000
560,0.979999956,0.040000450,-2.000000000,-0.000000000
570,0.997499955,0.005000061,-2.000000000,-0.000000000
580,0.014999955,0.027999999,2.000000000,-0.000000000
590,0.032499954,0.063000014,2.000000000,0.000000000
600,0.049999953,0.097999997,2.000000000,0.000000000
610,0.067499952,0.133001442,2.000000000,0.000000000
620,0.084999951,0.168000204,2.000000000,-0.000000000
630,0.102499951,0.203000021,2.000000000,-0.000000000
640,0.119999950,0.237999996,2.000000000,0.000000000
650,0.137499949,0.272999992,2.000000000,0.000000000
660,0.154999948,0.307999991,2.000000000,0.000000000
670,0.172499948,0.343001603,2.000000000,-0.000000000
680,0.189999947,0.378000254,2.000000000,-0.000000000
690,0.207499946,0.413000012,2.000000000,-0.000000000
700,0.224999945,0.447999987,2.000000000,-0.000000000
710,0.242499944,0.482999985,2.000000000,0.000000000
720,0.259999944,0.517999984,2.000000000,0.000000000
730,0.277499943,0.552999982,2.000000000,-0.000000000
740,0.294999942,0.587999956,2.000000000,-0.000000000
750,0.312499941,0.622999699,2.000000000,0.000000000
760,0.329999941,0.657998291,2.000000000,0.000000000
770,0.347499940,0.692999979,2.000000000,0.000000000
780,0.364999939,0.727999977,2.000000000,0.000000000
790,0.382499938,0.762999973,2.000000000,-0.000000000
800,0.399999937,0.797999946,2.000000000,0.000000000
810,0.417499937,0.832999754,2.000000000,0.000000000
820,0.434999936,0.867998446,2.000000000,-0.000000000
830,0.452499935,0.902999972,2.000000000,-0.000000000
840,0.469999934,0.937999953,2.000000000,0.000000000
850,0.487499934,0.972999970,2.000000000,-0.000000000
860,0.504999933,0.991999621,-2.000000000,0.000000000
870,0.522499932,0.956999781,-2.000000000,0.000000000
880,0.539999931,0.922000031,-2.000000000,0.000000000
890,0.557499930,0.887000034,-2.000000000,-0.000000000
900,0.574999930,0.851999399,-2.000000000,0.000000000
910,0.592499929,0.816999947,-2.000000000,-0.000000000
920,0.609999928,0.782000026,-2.000000000,-0.000000000
930,0.627499927,0.747000037,-2.000000000,-0.000000000
940,0.644999926,0.712000039,-2.000000000,-0.000000000
950,0.662499926,0.677000040,-2.000000000,-0.000000000
960,0.679999925,0.641999256,-2.000000000,-0.000000000
970,0.697499924,0.606999938,-2.000000000,-0.000000000
980,0.714999923,0.572000037,-2.000000000,0.000000000
990,0.732499923,0.537000045,-2.000000000,0.000000000
1000,0.749999922,0.502000041,-2.000000000,-0.000000000
1010,0.767499921,0.467000047,-2.000000000,0.000000000
1020,0.784999920,0.432000052,-2.000000000,0.000000000
1030,0.802499919,0.397000129,-2.000000000,0.000000000
1040,0.819999919,0.362000690,-2.000000000,-0.000000000
1050,0.837499918,0.327000051,-2.000000000,0.000000000
1060,0.854999917,0.292000052,-2.000000000,-0.000000000
1070,0.872499916,0.257000054,-2.000000000,-0.000000000
1080,0.889999916,0.222000063,-2.000000000,0.000000000
1090,0.907499915,0.187000126,-2.000000000,0.000000000
1100,0.924999914,0.152000566,-2.000000000,-0.000000000
1110,0.942499913,0.117000057,-2.000000000,0.000000000
1120,0.959999912,0.082000060,-2.000000000,0.000000000
1130,0.977499912,0.047000201,-2.000000000,-0.000000000
1140,0.994999911,0.012000107,-2.000000000,0.000000000
1150,0.012499910,0.024499999,2.000000000,0.000000000
1160,0.029999909,0.059500023,2.000000000,0.000000000
1170,0.047499908,0.094499997,2.000000000,-0.000000000
1180,0.064999908,0.129501746,2.000000000,-0.000000000
1190,0.082499907,0.164500249,2.000000000,-0.000000000
1200,0.099999906,0.199500028,2.000000000,-0.000000000
1210,0.117499905,0.234499997,2.000000000,-0.000000000
1220,0.134999905,0.269499992,2.000000000,0.000000000
1230,0.152499904,0.304499991,2.000000000,0.000000000
1240,0.169999903,0.339501881,2.000000000,0.000000000
1250,0.187499902,0.374500314,2.000000000,0.000000000
1260,0.204999901,0.409500020,2.000000000,-0.000000000
1270,0.222499901,0.444499987,2.000000000,0.000000000
1280,0.239999900,0.479499985,2.000000000,-0.000000000
1290,0.257499899,0.514498178,2.000000000,-0.000000000
1300,0.274999898,0.549499983,2.000000000,0.000000000
1310,0.292499898,0.584499962,2.000000000,-0.000000000
1320,0.309999897,0.619499752,2.000000000,0.000000000
1330,0.327499896,0.654498542,2.000000000,0.000000000
1340,0.344999895,0.689499979,2.000000000,0.000000000
1350,0.362499894,0.724499978,2.000000000,-0.000000000
1360,0.379999894,0.759499974,2.000000000,0.000000000
1370,0.397499893,0.794499952,2.000000000,0.000000000
1380,0.414999892,0.829499793,2.000000000,-0.000000000
1390,0.432499891,0.864498712,2.000000000,0.000000000
1400,0.449999890,0.899499972,2.000000000,0.000000000
1410,0.467499890,0.934499960,2.000000000,-0.000000000
1420,0.484999889,0.969498280,2.000000000,-0.000000000
1430,0.502499888,0.995500030,-2.000000000,-0.000000000
1440,0.519999887,0.960499612,-2.000000000,-0.000000000
1450,0.537499887,0.925500029,-2.000000000,-0.000000000
1460,0.554999886,0.890500034,-2.000000000,-0.000000000
1470,0.572499885,0.855499264,-2.000000000,0.000000000
1480,0.589999884,0.820499927,-2.000000000,-0.000000000
1490,0.607499883,0.785500023,-2.000000000,0.000000000
1500,0.624999883,0.750500037,-2.000000000,-0.000000000
1510,0.642499882,0.715500039,-2.000000000,0.000000000
1520,0.659999881,0.680500040,-2.000000000,0.000000000
1530,0.677499880,0.645499107,-2.000000000,0.000000000
1540,0.694999880,0.610499911,-2.000000000,0.000000000
1550,0.712499879,0.575500035,-2.000000000,0.000000000
1560,0.729999878,0.540500044,-2.000000000,0.000000000
1570,0.747499877,0.505499947,-2.000000000,-0.000000000
1580,0.764999876,0.470500047,-2.000000000,-0.000000000
1590,0.782499876,0.435500051,-2.000000000,0.000000000
1600,0.799999875,0.400500111,-2.000000000,-0.000000000
1610,0.817499874,0.365500583,-2.000000000,-0.000000000
1620,0.834999873,0.330500051,-2.000000000,-0.000000000
1630,0.852499872,0.295500052,-2.000000000,0.000000000
1640,0.869999872,0.260500054,-2.000000000,-0.000000000
1650,0.887499871,0.225500061,-2.000000000,-0.000000000
1660,0.904999870,0.190500113,-2.000000000,0.000000000
1670,0.922499869,0.155500476,-2.000000000,0.000000000
1680,0.939999869,0.120500057,-2.000000000,0.000000000
1690,0.957499868,0.085500059,-2.000000000,0.000000000
1700,0.974999867,0.050500146,-2.000000000,-0.000000000
1710,0.992499866,0.015500069,-2.000000000,0.000000000
