frame,time_s,position_mm,raw_x,raw_y,tags_tracked,tag_ids
195,20.8847,168.93,1387,674,1,0
196,20.984,175.71,1427,670,1,0
197,21.0864,180.62,1457,677,1,0
198,21.1865,183.89,1478,691,1,0
199,21.2861,185.16,1486,695,1,0
200,21.3826,184.69,1483,693,1,0
201,21.4821,184.6,1482,689,1,0
202,21.583,184.24,1480,690,1,0
203,21.685,181.3,1462,686,1,0
204,21.79,174.8,1422,674,1,0
210,22.4285,80.45,851,595,1,0
211,22.5275,70.61,792,592,1,0
212,22.6253,60.82,733,586,1,0
213,22.7562,49.14,664,592,1,0
214,22.887,38.08,600,610,1,0
217,23.1952,6.53,414,630,1,0
218,23.2927,-0.49,373,638,1,0
219,23.3924,-4.04,353,649,1,0
220,23.4933,-5.83,343,655,1,0
221,23.5951,-5.01,348,656,1,0
222,23.7293,-2.83,361,656,1,0
223,23.8597,-0.65,374,656,1,0
224,23.9886,-0.33,376,657,1,0
225,24.0907,-0.5,375,657,1,0
226,24.1901,-0.5,375,657,1,0
227,24.3223,-3.25,359,661,1,0
228,24.4573,-6.06,343,668,1,0
229,24.5584,-7.31,336,672,1,0
230,24.6556,-8.33,330,673,1,0
231,24.7926,-9.86,321,674,1,0
232,24.9196,-11.05,314,675,1,0
233,25.0484,-12.22,307,675,1,0
234,25.1773,-13.34,300,672,1,0
235,25.3058,-12.71,303,665,1,0
236,25.4028,-11.17,312,663,1,0
237,25.5099,-8.19,330,665,1,0
242,26.1091,34.73,585,657,1,0
243,26.2404,35.59,591,665,1,0
244,26.3716,36.3,596,672,1,0
245,26.5088,35.74,593,675,1,0
246,26.6398,36.88,600,677,1,0
