frame,time_s,position_mm,raw_x,raw_y,points_tracked
27,2.3583,10.25,879,734,1
28,2.4565,8.43,875,720,1
29,2.5613,6.11,871,720,1
30,2.6582,4.33,868,721,1
31,2.7234,4.36,868,720,1
32,2.8204,3.75,867,721,1
33,2.89,5.52,870,720,1
34,2.9637,9.08,876,718,1
35,3.0282,9.06,877,735,1
36,3.0923,-19.57,835,854,1
37,3.1873,-30.31,817,862,1
38,3.2881,-4.45,863,886,1
39,3.3544,-16.83,841,875,1
40,3.4567,-8.71,855,875,1
41,3.5568,18.41,902,880,1
42,3.6589,22.28,911,918,1
43,3.7608,36.59,940,989,1
44,3.8534,41.81,945,924,1
45,3.9212,49.43,958,922,1
46,3.9917,56.39,970,922,1
47,4.0557,64.05,983,919,1
48,4.1206,71.02,995,919,1
49,4.1872,79.57,1009,907,1
50,4.2594,85.09,1019,915,1
51,4.3577,95.46,1036,901,1
52,4.4262,90.29,1025,867,1
53,4.5255,108.39,1059,913,1
54,4.6233,118.58,1076,904,1
55,4.7325,116.59,1070,862,1
56,4.7982,115.98,1069,863,1
57,4.8631,128.35,1090,858,1
58,4.9615,117.46,1071,854,1
59,5.0585,169.61,1168,971,1
60,5.1299,163.61,1160,1009,1
61,5.197,169.46,1170,1008,1
62,5.2611,175.3,1180,1007,1
63,5.3267,181.14,1190,1006,1
64,5.4226,189.85,1205,1006,1
65,5.5204,198.05,1219,1004,1
66,5.6232,205.56,1232,1005,1
67,5.7214,210.82,1241,1004,1
68,5.8226,213.73,1246,1004,1
69,5.9218,212.57,1244,1004,1
70,6.0225,207.41,1235,1002,1
71,6.1229,195.25,1214,1001,1
72,6.2325,181.94,1191,1000,1
73,6.3323,165.68,1163,1000,1
74,6.4274,150.0,1136,1000,1
75,6.526,133.67,1108,1002,1
76,6.5956,116.8,1079,1003,1
77,6.6932,95.24,1042,1005,1
78,6.7928,70.17,999,1008,1
79,6.8887,44.44,955,1013,1
80,6.9578,29.89,930,1014,1
81,7.0562,9.5,895,1016,1
82,7.1266,-2.19,875,1018,1
83,7.2241,-20.22,844,1019,1
84,7.3217,-42.11,799,900,1
85,7.399,-50.3,783,869,1
86,7.4643,-60.38,766,875,1
87,7.5304,-59.77,767,874,1
88,7.6304,-21.78,825,753,1
89,7.7273,-9.5,844,718,1
90,7.8249,0.3,861,720,1
91,7.9273,16.63,889,718,1
92,8.0318,34.7,920,716,1
93,8.0961,43.96,937,733,1
94,8.1919,66.68,976,731,1
95,8.3069,93.01,1020,709,1
96,8.406,110.37,1051,727,1
97,8.4991,99.2,1039,845,1
98,8.596,103.35,1047,859,1
99,8.6623,121.77,1081,896,1
100,8.7605,132.13,1097,866,1
101,8.8629,145.03,1121,895,1
102,8.9586,151.86,1140,1013,1
103,9.0572,145.75,1122,891,1
104,9.128,159.62,1153,1007,1
105,9.1915,162.49,1158,1008,1
106,9.2619,169.02,1169,1004,1
107,9.3644,180.12,1188,1002,1
108,9.4602,193.04,1210,998,1
109,9.526,200.73,1223,994,1
110,9.5923,206.68,1233,990,1
111,9.6924,213.1,1244,989,1
112,9.766,218.33,1253,989,1
113,9.8622,225.29,1265,989,1
114,9.9646,231.57,1276,992,1
115,10.0337,243.44,1290,887,1
116,10.1333,241.95,1294,994,1
117,10.2277,253.97,1315,999,1
118,10.3225,252.77,1313,1000,1
119,10.3939,261.99,1329,1002,1
120,10.4905,263.73,1332,1002,1
121,10.5592,264.24,1333,1004,1
122,10.6311,264.21,1333,1005,1
123,10.6973,261.34,1328,1004,1
124,10.761,260.72,1327,1005,1
125,10.824,253.9,1315,1001,1
126,10.8995,252.67,1313,1003,1
127,10.9982,258.33,1323,1007,1
128,11.0928,252.05,1312,1004,1
