frame,time_s,position_mm,raw_x,raw_y,points_tracked
0,0.1219,195.77,1454,534,1
1,0.2207,196.0,1455,532,1
2,0.2898,196.0,1455,532,1
3,0.354,196.19,1456,532,1
4,0.4257,196.58,1458,533,1
5,0.5222,197.01,1460,531,1
6,0.6249,197.24,1461,529,1
7,0.7213,197.65,1463,528,1
8,0.7938,198.83,1469,529,1
9,0.8959,200.79,1479,531,1
10,0.992,203.96,1495,532,1
11,1.0914,207.74,1514,532,1
12,1.1952,211.33,1532,531,1
13,1.2917,213.72,1544,531,1
14,1.3944,215.89,1555,532,1
15,1.4947,217.9,1565,531,1
16,1.5616,218.51,1568,530,1
17,1.6282,218.33,1567,529,1
18,1.7288,215.93,1555,530,1
19,1.8312,211.32,1532,532,1
20,1.9246,204.35,1497,532,1
21,2.0228,196.44,1457,529,1
22,2.1077,190.92,1429,526,1
23,2.2019,182.01,1384,523,1
24,2.2682,175.87,1353,521,1
25,2.3664,167.24,1309,513,1
26,2.4602,158.41,1264,505,1
27,2.5576,149.93,1221,500,1
28,2.6577,142.17,1182,500,1
29,2.7579,134.76,1145,503,1
30,2.8551,127.2,1107,503,1
31,2.9598,119.61,1069,505,1
32,3.0583,113.5,1039,514,1
33,3.1596,107.59,1010,523,1
34,3.2583,100.59,975,525,1
35,3.3619,92.6,935,527,1
36,3.4596,84.35,894,533,1
37,3.5578,75.68,851,540,1
38,3.6588,67.28,809,543,1
39,3.7582,59.55,770,541,1
40,3.8598,51.44,729,538,1
41,3.96,45.01,696,529,1
42,4.0582,44.7,691,485,1
43,4.1594,49.41,710,425,1
44,4.2578,54.88,733,368,1
45,4.3568,60.6,758,320,1
46,4.456,65.95,782,283,1
47,4.5539,69.64,799,263,1
48,4.6285,71.38,808,266,1
49,4.7235,72.95,818,293,1
50,4.8219,73.66,825,337,1
51,4.8944,74.38,831,368,1
52,4.993,76.1,843,411,1
53,5.0929,78.41,858,454,1
54,5.1919,80.9,874,499,1
55,5.2949,83.02,887,529,1
56,5.3924,85.37,899,531,1
57,5.4927,87.69,910,523,1
58,5.5903,89.59,919,516,1
59,5.6586,91.19,927,515,1
60,5.7258,93.15,937,517,1
61,5.8255,98.92,966,517,1
62,5.9254,108.77,1015,511,1
63,6.0232,122.01,1081,504,1
64,6.0956,131.61,1129,501,1
65,6.1606,141.21,1177,498,1
