frame,time_s,raw_x,raw_y,mm_per_pixel,tracking_source,tracking_confidence,tags_tracked,tag_ids,tag_sources,pose_x,pose_y,pose_z,pose_err,video_frame
3,0.4442,568.3,1247.53,0.119242,apriltag,1.0,1,5,5:apriltag,3.358,34.216,172.52,0.0,55
4,0.525,567.58,1248.85,0.119507,apriltag,1.0,1,5,5:apriltag,3.304,34.477,173.035,0.0,56
5,0.6098,567.77,1248.94,0.119587,apriltag,1.0,1,5,5:apriltag,3.311,34.423,172.672,0.0,57
6,0.6953,568.32,1246.73,0.11966,apriltag,1.0,1,5,5:apriltag,3.367,34.224,173.086,0.0,58
7,0.7764,568.03,1236.44,0.119742,apriltag,1.0,1,5,5:apriltag,3.356,33.181,174.065,0.0,59
8,0.9108,566.5,1221.0,0.119742,opencv,0.967,1,5,5:opencv,3173.163,31252.658,,,60
9,1.0498,565.5,1202.0,0.119742,opencv,0.933,1,5,5:opencv,3053.421,28977.56,,,61
10,1.1322,564.4,1179.93,0.122207,apriltag,1.0,1,5,5:apriltag,2.952,26.65,175.706,0.0,62
11,1.2139,564.5,1155.94,0.122363,apriltag,1.0,1,5,5:apriltag,2.864,23.503,174.012,0.0,63
12,1.3535,563.0,1130.5,0.122363,opencv,0.967,1,5,5:opencv,2814.351,20862.906,,,64
13,1.489,562.0,1105.5,0.122363,opencv,0.933,1,5,5:opencv,2691.988,17803.829,,,65
14,1.6291,561.0,1080.5,0.122363,opencv,0.9,1,5,5:opencv,2569.625,14744.751,,,66
15,1.7661,560.0,1054.5,0.122363,opencv,0.867,1,5,5:opencv,2447.262,11563.311,,,67
16,1.8516,558.87,1027.89,0.123939,apriltag,1.0,1,5,5:apriltag,2.311,8.271,174.114,0.0,68
17,1.9879,558.0,1001.5,0.123939,opencv,0.967,1,5,5:opencv,2230.907,5143.481,,,69
18,2.1203,558.0,976.5,0.123939,opencv,0.933,1,5,5:opencv,2230.907,2044.998,,,70
19,2.2593,557.0,950.5,0.123939,opencv,0.9,1,5,5:opencv,2106.968,-1177.423,,,71
20,2.3926,556.0,924.5,0.123939,opencv,0.867,1,5,5:opencv,1983.029,-4399.845,,,72
21,2.5295,554.0,898.5,0.123939,opencv,0.833,1,5,5:opencv,1735.15,-7622.266,,,73
