frame,time_s,raw_x,raw_y,mm_per_pixel,tracking_source,tracking_confidence,tags_tracked,tag_ids,tag_sources,pose_x,pose_y,pose_z,pose_err,video_frame
21,0.8421,565.86,1251.2,0.119319,apriltag,1.0,1,5,5:apriltag,3.091,34.806,172.999,0.0,343
22,0.8763,566.08,1251.26,0.119612,apriltag,1.0,1,5,5:apriltag,3.1,34.718,172.794,0.0,344
23,0.911,566.42,1250.13,0.118336,apriltag,1.0,1,5,5:apriltag,3.101,34.285,171.356,0.0,345
24,0.9448,565.64,1243.05,0.11924,apriltag,1.0,1,5,5:apriltag,3.085,33.823,173.273,0.0,346
25,0.9776,565.64,1243.05,0.11924,opencv,0.5,1,5,5:opencv,,,,,347
26,1.0122,563.72,1211.89,0.121069,apriltag,1.0,1,5,5:apriltag,2.913,30.474,175.351,0.0,348
27,1.0455,563.72,1211.89,0.121069,opencv,0.5,1,5,5:opencv,,,,,349
28,1.0794,563.72,1211.89,0.121069,opencv,0.5,1,5,5:opencv,,,,,350
29,1.1152,563.72,1211.89,0.121069,opencv,0.5,1,5,5:opencv,,,,,351
30,1.1479,563.72,1211.89,0.121069,opencv,0.5,1,5,5:opencv,,,,,352
31,1.1802,563.72,1211.89,0.121069,opencv,0.5,1,5,5:opencv,,,,,353
50,1.8115,542.74,626.39,0.12002,apriltag,1.0,1,5,5:apriltag,0.271,-40.04,174.143,0.0,372
51,1.8442,542.45,626.53,0.119779,apriltag,1.0,1,5,5:apriltag,0.275,-39.586,172.364,0.0,373
52,1.8781,540.06,628.71,0.119437,apriltag,1.0,1,5,5:apriltag,0.039,-39.333,172.283,0.0,374
53,1.9135,540.43,637.37,0.120274,apriltag,1.0,1,5,5:apriltag,0.026,-38.62,173.685,0.0,375
54,1.9467,540.43,637.37,0.120274,opencv,0.5,1,5,5:opencv,,,,,376
55,1.9786,540.43,637.37,0.120274,opencv,0.5,1,5,5:opencv,,,,,377
56,2.0111,540.43,637.37,0.120274,opencv,0.5,1,5,5:opencv,,,,,378
57,2.0439,540.43,637.37,0.120274,opencv,0.5,1,5,5:opencv,,,,,379
58,2.0771,540.43,637.37,0.120274,opencv,0.5,1,5,5:opencv,,,,,380
78,2.7456,566.53,1250.71,0.11897,apriltag,1.0,1,5,5:apriltag,3.086,34.861,173.68,0.0,400
79,2.7781,564.63,1251.27,0.119621,apriltag,1.0,1,5,5:apriltag,3.011,35.151,174.949,0.0,401
80,2.8126,565.25,1251.24,0.119592,apriltag,1.0,1,5,5:apriltag,3.034,34.86,173.586,0.0,402
81,2.847,565.13,1247.75,0.119512,apriltag,1.0,1,5,5:apriltag,3.008,34.288,172.698,0.0,403
82,2.8816,565.1,1235.66,0.11962,apriltag,1.0,1,5,5:apriltag,3.018,32.867,172.821,0.0,404
83,2.9158,564.6,1221.06,0.120914,apriltag,1.0,1,5,5:apriltag,2.952,31.239,173.91,0.0,405
84,2.9489,564.6,1221.06,0.120914,opencv,0.5,1,5,5:opencv,,,,,406
85,2.9843,564.6,1221.06,0.120914,opencv,0.5,1,5,5:opencv,,,,,407
86,3.0176,564.6,1221.06,0.120914,opencv,0.5,1,5,5:opencv,,,,,408
87,3.0505,564.6,1221.06,0.120914,opencv,0.5,1,5,5:opencv,,,,,409
88,3.0826,564.6,1221.06,0.120914,opencv,0.5,1,5,5:opencv,,,,,410
107,3.7093,540.92,628.06,0.11904,apriltag,1.0,1,5,5:apriltag,0.112,-39.691,173.338,0.0,429
108,3.7425,542.94,626.79,0.118793,apriltag,1.0,1,5,5:apriltag,0.305,-39.613,172.436,0.0,430
109,3.7782,540.6,628.42,0.119735,apriltag,1.0,1,5,5:apriltag,0.072,-39.758,173.64,0.0,431
110,3.8115,540.6,628.42,0.119735,opencv,0.5,1,5,5:opencv,,,,,432
111,3.845,540.6,628.42,0.119735,opencv,0.5,1,5,5:opencv,,,,,433
112,3.8772,540.6,628.42,0.119735,opencv,0.5,1,5,5:opencv,,,,,434
113,3.9108,540.6,628.42,0.119735,opencv,0.5,1,5,5:opencv,,,,,435
114,3.9447,540.6,628.42,0.119735,opencv,0.5,1,5,5:opencv,,,,,436
131,4.5116,561.4,1148.45,0.121018,apriltag,1.0,1,5,5:apriltag,2.554,22.626,174.235,0.0,453
132,4.5461,560.54,1154.58,0.120091,apriltag,1.0,1,5,5:apriltag,2.467,23.366,174.127,0.0,454
133,4.5815,559.5,1151.71,0.120845,apriltag,1.0,1,5,5:apriltag,2.363,23.033,174.185,0.0,455
134,4.6158,560.2,1144.96,0.121105,apriltag,1.0,1,5,5:apriltag,2.428,22.222,174.288,0.0,456
135,4.6506,560.12,1132.02,0.120829,apriltag,1.0,1,5,5:apriltag,2.438,20.688,174.352,0.0,457
136,4.6837,560.12,1132.02,0.120829,opencv,0.5,1,5,5:opencv,,,,,458
137,4.7181,560.12,1132.02,0.120829,opencv,0.5,1,5,5:opencv,,,,,459
138,4.752,560.12,1132.02,0.120829,opencv,0.5,1,5,5:opencv,,,,,460
139,4.7858,560.12,1132.02,0.120829,opencv,0.5,1,5,5:opencv,,,,,461
140,4.8198,560.12,1132.02,0.120829,opencv,0.5,1,5,5:opencv,,,,,462
162,5.5556,534.12,469.95,0.118603,apriltag,1.0,1,5,5:apriltag,-0.666,-57.99,171.647,0.0,484
163,5.5901,535.21,470.63,0.119712,apriltag,1.0,1,5,5:apriltag,-0.552,-58.375,173.004,0.0,485
164,5.6237,535.0,472.76,0.118894,apriltag,1.0,1,5,5:apriltag,-0.647,-57.697,171.897,0.0,486
165,5.6587,531.95,482.41,0.119872,apriltag,1.0,1,5,5:apriltag,-0.938,-57.218,173.702,0.0,487
166,5.6902,531.95,482.41,0.119872,opencv,0.5,1,5,5:opencv,,,,,488
167,5.7221,531.95,482.41,0.119872,opencv,0.5,1,5,5:opencv,,,,,489
168,5.7541,537.96,538.94,0.121614,apriltag,1.0,1,5,5:apriltag,-0.326,-50.218,173.108,0.0,490
169,5.7863,537.96,538.94,0.121614,opencv,0.5,1,5,5:opencv,,,,,491
170,5.8182,537.96,538.94,0.121614,opencv,0.5,1,5,5:opencv,,,,,492
171,5.8505,537.96,538.94,0.121614,opencv,0.5,1,5,5:opencv,,,,,493
172,5.8832,537.96,538.94,0.121614,opencv,0.5,1,5,5:opencv,,,,,494
173,5.9173,537.96,538.94,0.121614,opencv,0.5,1,5,5:opencv,,,,,495
193,6.5805,564.7,1195.87,0.1216,apriltag,1.0,1,5,5:apriltag,2.82,28.218,173.575,0.0,515
194,6.6139,563.25,1213.37,0.119826,apriltag,1.0,1,5,5:apriltag,2.762,30.137,172.678,0.0,516
195,6.6483,562.89,1215.14,0.119228,apriltag,1.0,1,5,5:apriltag,2.716,30.466,173.443,0.0,517
196,6.6831,563.48,1214.16,0.119058,apriltag,1.0,1,5,5:apriltag,2.736,30.556,174.332,0.0,518
197,6.7181,563.45,1210.01,0.120239,apriltag,1.0,1,5,5:apriltag,2.809,29.868,173.294,0.0,519
198,6.7526,563.72,1198.61,0.120598,apriltag,1.0,1,5,5:apriltag,2.829,28.458,173.124,0.0,520
199,6.7857,563.72,1198.61,0.120598,opencv,0.5,1,5,5:opencv,,,,,521
200,6.8201,563.72,1198.61,0.120598,opencv,0.5,1,5,5:opencv,,,,,522
201,6.8535,563.72,1198.61,0.120598,opencv,0.5,1,5,5:opencv,,,,,523
202,6.8876,563.72,1198.61,0.120598,opencv,0.5,1,5,5:opencv,,,,,524
203,6.9208,563.72,1198.61,0.120598,opencv,0.5,1,5,5:opencv,,,,,525
206,7.0228,554.77,1011.41,0.120669,apriltag,1.0,1,5,5:apriltag,1.721,6.151,172.741,0.0,528
207,7.0572,554.77,1011.41,0.120669,opencv,0.5,1,5,5:opencv,,,,,529
208,7.0906,554.77,1011.41,0.120669,opencv,0.5,1,5,5:opencv,,,,,530
209,7.1239,554.77,1011.41,0.120669,opencv,0.5,1,5,5:opencv,,,,,531
210,7.1573,554.77,1011.41,0.120669,opencv,0.5,1,5,5:opencv,,,,,532
211,7.1913,554.77,1011.41,0.120669,opencv,0.5,1,5,5:opencv,,,,,533
221,7.5236,540.13,630.13,0.120296,apriltag,1.0,1,5,5:apriltag,0.015,-39.59,174.007,0.0,543
222,7.5567,540.74,622.52,0.120002,apriltag,1.0,1,5,5:apriltag,0.07,-40.616,174.526,0.0,544
223,7.5921,540.65,622.3,0.119811,apriltag,1.0,1,5,5:apriltag,0.057,-40.352,173.312,0.0,545
224,7.6258,539.11,623.69,0.119839,apriltag,1.0,1,5,5:apriltag,-0.064,-40.051,172.661,0.0,546
225,7.6608,538.84,630.73,0.120161,apriltag,1.0,1,5,5:apriltag,-0.127,-39.078,172.138,0.0,547
226,7.6931,538.84,630.73,0.120161,opencv,0.5,1,5,5:opencv,,,,,548
227,7.7261,538.84,630.73,0.120161,opencv,0.5,1,5,5:opencv,,,,,549
228,7.7591,538.84,630.73,0.120161,opencv,0.5,1,5,5:opencv,,,,,550
229,7.7962,538.84,630.73,0.120161,opencv,0.5,1,5,5:opencv,,,,,551
230,7.8347,538.84,630.73,0.120161,opencv,0.5,1,5,5:opencv,,,,,552
251,8.5318,564.76,1251.98,0.11992,apriltag,1.0,1,5,5:apriltag,2.938,35.136,174.272,0.0,573
252,8.5654,564.09,1251.78,0.119666,apriltag,1.0,1,5,5:apriltag,2.899,34.824,172.953,0.0,574
253,8.601,564.61,1251.18,0.1196,apriltag,1.0,1,5,5:apriltag,2.974,35.091,174.77,0.0,575
254,8.6338,564.43,1242.59,0.119909,apriltag,1.0,1,5,5:apriltag,2.95,33.905,173.937,0.0,576
255,8.6663,564.43,1242.59,0.119909,opencv,0.5,1,5,5:opencv,,,,,577
256,8.7,564.43,1242.59,0.119909,opencv,0.5,1,5,5:opencv,,,,,578
257,8.7342,561.55,1188.14,0.120889,apriltag,1.0,1,5,5:apriltag,2.547,27.226,173.092,0.0,579
258,8.7661,561.55,1188.14,0.120889,opencv,0.5,1,5,5:opencv,,,,,580
259,8.799,561.55,1188.14,0.120889,opencv,0.5,1,5,5:opencv,,,,,581
260,8.8323,561.55,1188.14,0.120889,opencv,0.5,1,5,5:opencv,,,,,582
261,8.8671,561.55,1188.14,0.120889,opencv,0.5,1,5,5:opencv,,,,,583
262,8.9001,561.55,1188.14,0.120889,opencv,0.5,1,5,5:opencv,,,,,584
279,9.469,539.24,631.7,0.120153,apriltag,1.0,1,5,5:apriltag,-0.047,-39.339,173.835,0.0,601
280,9.5027,540.25,627.67,0.1199,apriltag,1.0,1,5,5:apriltag,0.053,-39.845,173.867,0.0,602
281,9.5359,540.67,628.29,0.120121,apriltag,1.0,1,5,5:apriltag,0.067,-40.087,175.336,0.0,603
282,9.5697,538.89,631.11,0.120003,apriltag,1.0,1,5,5:apriltag,-0.106,-39.334,173.423,0.0,604
283,9.6018,538.89,631.11,0.120003,opencv,0.5,1,5,5:opencv,,,,,605
284,9.6349,538.89,631.11,0.120003,opencv,0.5,1,5,5:opencv,,,,,606
285,9.672,542.78,674.57,0.119592,apriltag,1.0,1,5,5:apriltag,0.268,-33.657,170.922,0.0,607
286,9.7057,542.78,674.57,0.119592,opencv,0.5,1,5,5:opencv,,,,,608
287,9.7393,542.78,674.57,0.119592,opencv,0.5,1,5,5:opencv,,,,,609
288,9.774,542.78,674.57,0.119592,opencv,0.5,1,5,5:opencv,,,,,610
289,9.807,542.78,674.57,0.119592,opencv,0.5,1,5,5:opencv,,,,,611
290,9.8399,542.78,674.57,0.119592,opencv,0.5,1,5,5:opencv,,,,,612
307,10.4101,564.52,1244.23,0.119714,apriltag,1.0,1,5,5:apriltag,2.953,34.349,175.282,0.0,629
308,10.4434,564.26,1253.49,0.119767,apriltag,1.0,1,5,5:apriltag,2.905,35.104,173.468,0.0,630
309,10.4796,564.32,1254.62,0.120029,apriltag,1.0,1,5,5:apriltag,2.925,35.492,174.698,0.0,631
310,10.5128,564.35,1254.68,0.119744,apriltag,1.0,1,5,5:apriltag,2.908,35.348,173.959,0.0,632
311,10.5469,564.35,1254.68,0.119744,opencv,0.5,1,5,5:opencv,,,,,633
312,10.5799,564.35,1254.68,0.119744,opencv,0.5,1,5,5:opencv,,,,,634
313,10.6135,564.35,1254.68,0.119744,opencv,0.5,1,5,5:opencv,,,,,635
314,10.6472,562.28,1202.16,0.120585,apriltag,1.0,1,5,5:apriltag,2.586,28.584,171.418,0.0,636
315,10.6806,562.28,1202.16,0.120585,opencv,0.5,1,5,5:opencv,,,,,637
316,10.7132,562.28,1202.16,0.120585,opencv,0.5,1,5,5:opencv,,,,,638
317,10.748,562.28,1202.16,0.120585,opencv,0.5,1,5,5:opencv,,,,,639
318,10.7812,562.28,1202.16,0.120585,opencv,0.5,1,5,5:opencv,,,,,640
319,10.8151,562.28,1202.16,0.120585,opencv,0.5,1,5,5:opencv,,,,,641
321,10.8824,554.64,1029.01,0.121252,apriltag,1.0,1,5,5:apriltag,1.759,8.287,174.544,0.0,643
322,10.915,554.64,1029.01,0.121252,opencv,0.5,1,5,5:opencv,,,,,644
323,10.9476,554.64,1029.01,0.121252,opencv,0.5,1,5,5:opencv,,,,,645
324,10.981,554.64,1029.01,0.121252,opencv,0.5,1,5,5:opencv,,,,,646
325,11.0172,554.64,1029.01,0.121252,opencv,0.5,1,5,5:opencv,,,,,647
326,11.0513,554.64,1029.01,0.121252,opencv,0.5,1,5,5:opencv,,,,,648
336,11.3912,539.69,642.45,0.120984,apriltag,1.0,1,5,5:apriltag,-0.048,-37.806,172.606,0.0,658
337,11.4256,539.29,629.72,0.120157,apriltag,1.0,1,5,5:apriltag,-0.062,-39.587,173.791,0.0,659
338,11.4597,539.95,629.33,0.120082,apriltag,1.0,1,5,5:apriltag,0.033,-39.666,173.961,0.0,660
339,11.4936,539.25,630.38,0.120139,apriltag,1.0,1,5,5:apriltag,-0.071,-39.282,172.793,0.0,661
340,11.5273,537.72,636.23,0.119379,apriltag,1.0,1,5,5:apriltag,-0.255,-38.849,173.976,0.0,662
341,11.5645,539.73,648.27,0.120782,apriltag,1.0,1,5,5:apriltag,-0.08,-37.433,174.273,0.0,663
342,11.5974,539.73,648.27,0.120782,opencv,0.5,1,5,5:opencv,,,,,664
343,11.6317,539.73,648.27,0.120782,opencv,0.5,1,5,5:opencv,,,,,665
344,11.6644,539.73,648.27,0.120782,opencv,0.5,1,5,5:opencv,,,,,666
345,11.6986,539.73,648.27,0.120782,opencv,0.5,1,5,5:opencv,,,,,667
346,11.7321,539.73,648.27,0.120782,opencv,0.5,1,5,5:opencv,,,,,668
