frame,time_s,raw_x,raw_y,mm_per_pixel,tracking_source,tracking_confidence,tags_tracked,tag_ids,tag_sources,pose_x,pose_y,pose_z,pose_err,video_frame
0,0.4708,545.1,307.84,0.117858,apriltag,1.0,1,5,5:apriltag,0.594,-76.862,170.898,0.0,113
1,0.475,544.83,307.73,0.117676,apriltag,1.0,1,5,5:apriltag,0.55,-76.717,170.559,0.0,114
2,0.4792,544.67,307.56,0.117715,apriltag,1.0,1,5,5:apriltag,0.531,-76.756,170.609,0.0,115
3,0.4833,544.61,307.57,0.117829,apriltag,1.0,1,5,5:apriltag,0.525,-76.838,170.785,0.0,116
4,0.4875,544.6,307.52,0.117768,apriltag,1.0,1,5,5:apriltag,0.526,-76.83,170.73,0.0,117
5,0.4917,544.49,307.47,0.117829,apriltag,1.0,1,5,5:apriltag,0.522,-76.867,170.805,0.0,118
6,0.4958,544.75,307.45,0.117824,apriltag,1.0,1,5,5:apriltag,0.549,-76.871,170.814,0.0,119
7,0.5,545.1,307.19,0.117693,apriltag,1.0,1,5,5:apriltag,0.583,-76.767,170.551,0.0,120
8,0.5042,545.28,307.19,0.11761,apriltag,1.0,1,5,5:apriltag,0.604,-76.747,170.492,0.0,121
9,0.5083,545.09,307.14,0.117619,apriltag,1.0,1,5,5:apriltag,0.596,-76.743,170.476,0.0,122
10,0.5125,545.09,307.13,0.117693,apriltag,1.0,1,5,5:apriltag,0.594,-76.813,170.614,0.0,123
11,0.5167,544.9,306.86,0.117639,apriltag,1.0,1,5,5:apriltag,0.565,-76.732,170.416,0.0,124
12,0.5208,544.77,306.82,0.117577,apriltag,1.0,1,5,5:apriltag,0.541,-76.698,170.323,0.0,125
13,0.525,544.63,306.81,0.117609,apriltag,1.0,1,5,5:apriltag,0.526,-76.725,170.363,0.0,126
14,0.5292,544.58,306.77,0.117618,apriltag,1.0,1,5,5:apriltag,0.519,-76.748,170.402,0.0,127
15,0.5333,544.6,306.73,0.117701,apriltag,1.0,1,5,5:apriltag,0.525,-76.796,170.504,0.0,128
16,0.5375,544.58,306.82,0.117848,apriltag,1.0,1,5,5:apriltag,0.523,-76.884,170.706,0.0,129
17,0.5417,544.82,306.79,0.118105,apriltag,1.0,1,5,5:apriltag,0.552,-77.115,171.19,0.0,130
18,0.5458,545.08,306.76,0.117898,apriltag,1.0,1,5,5:apriltag,0.585,-76.955,170.85,0.0,131
19,0.55,545.22,306.68,0.117914,apriltag,1.0,1,5,5:apriltag,0.597,-76.97,170.869,0.0,132
20,0.5542,545.25,306.59,0.117887,apriltag,1.0,1,5,5:apriltag,0.595,-76.954,170.821,0.0,133
21,0.5583,545.26,306.53,0.117902,apriltag,1.0,1,5,5:apriltag,0.592,-76.967,170.836,0.0,134
22,0.5625,545.2,306.5,0.117757,apriltag,1.0,1,5,5:apriltag,0.589,-76.868,170.612,0.0,135
23,0.5667,545.11,306.57,0.117741,apriltag,1.0,1,5,5:apriltag,0.577,-76.871,170.622,0.0,136
24,0.5708,544.9,306.62,0.117782,apriltag,1.0,1,5,5:apriltag,0.553,-76.925,170.731,0.0,137
25,0.575,544.91,306.63,0.11781,apriltag,1.0,1,5,5:apriltag,0.546,-77.005,170.886,0.0,138
26,0.5792,544.8,306.51,0.117836,apriltag,1.0,1,5,5:apriltag,0.54,-76.987,170.832,0.0,139
27,0.5833,544.79,306.54,0.117883,apriltag,1.0,1,5,5:apriltag,0.543,-77.05,170.964,0.0,140
28,0.5875,544.69,306.47,0.117754,apriltag,1.0,1,5,5:apriltag,0.539,-76.983,170.783,0.0,141
29,0.5917,544.88,306.26,0.117668,apriltag,1.0,1,5,5:apriltag,0.555,-76.86,170.513,0.0,142
30,0.5958,545.03,306.26,0.117721,apriltag,1.0,1,5,5:apriltag,0.587,-76.889,170.584,0.0,143
31,0.6,545.13,306.23,0.11762,apriltag,1.0,1,5,5:apriltag,0.581,-76.808,170.414,0.0,144
32,0.6042,545.08,306.19,0.11762,apriltag,1.0,1,5,5:apriltag,0.586,-76.808,170.405,0.0,145
33,0.6083,545.07,306.19,0.117679,apriltag,1.0,1,5,5:apriltag,0.586,-76.827,170.461,0.0,146
34,0.6125,544.92,306.36,0.11771,apriltag,1.0,1,5,5:apriltag,0.561,-76.872,170.57,0.0,147
35,0.6167,544.84,306.52,0.117739,apriltag,1.0,1,5,5:apriltag,0.54,-76.92,170.688,0.0,148
36,0.6208,544.76,306.51,0.11786,apriltag,1.0,1,5,5:apriltag,0.529,-77.003,170.872,0.0,149
37,0.625,544.73,306.5,0.117933,apriltag,1.0,1,5,5:apriltag,0.523,-77.052,170.982,0.0,150
