frame,time_s,raw_x,raw_y,mm_per_pixel,tracking_source,tracking_confidence,tags_tracked,tag_ids,tag_sources,pose_x,pose_y,pose_z,pose_err,video_frame
1,0.2702,545.82,713.58,0.120473,apriltag,1.0,1,5,5:apriltag,0.674,-29.215,172.201,0.0,264
2,0.412,545.0,739.5,0.120473,opencv,0.967,1,5,5:opencv,602.365,-26564.29,,,265
3,0.5485,546.0,765.5,0.120473,opencv,0.933,1,5,5:opencv,722.838,-23431.993,,,266
4,0.6319,548.74,791.81,0.122019,apriltag,1.0,1,5,5:apriltag,1.053,-20.279,174.907,0.0,267
5,0.7648,550.0,817.0,0.122019,opencv,0.967,1,5,5:opencv,1220.191,-17448.736,,,268
6,0.8987,551.0,844.0,0.122019,opencv,0.933,1,5,5:opencv,1342.21,-14154.219,,,269
7,1.037,550.0,871.0,0.122019,opencv,0.9,1,5,5:opencv,1220.191,-10859.703,,,270
8,1.1747,551.0,897.0,0.122019,opencv,0.867,1,5,5:opencv,1342.21,-7687.205,,,271
9,1.3151,553.0,924.0,0.122019,opencv,0.833,1,5,5:opencv,1586.249,-4392.689,,,272
10,1.4019,555.62,951.29,0.122558,apriltag,1.0,1,5,5:apriltag,1.854,-1.041,173.41,0.0,273
