frame,time_s,position_mm,raw_x,raw_y,points_tracked
177,14.4822,260.8,1736,493,1
178,14.5476,260.8,1736,493,1
179,14.6464,260.64,1735,493,1
180,14.7139,260.8,1736,493,1
181,14.818,260.8,1736,493,1
182,14.8787,260.64,1735,493,1
183,14.948,260.64,1735,493,1
184,15.055,260.8,1736,493,1
185,15.1495,260.8,1736,493,1
186,15.2473,260.8,1736,493,1
187,15.3163,260.8,1736,493,1
188,15.3794,260.8,1736,493,1
189,15.4488,260.8,1736,493,1
190,15.5161,260.8,1736,493,1
191,15.5832,260.8,1736,493,1
192,15.6483,260.8,1736,493,1
193,15.7159,260.8,1736,493,1
194,15.7827,260.8,1736,493,1
195,15.8473,260.8,1736,493,1
196,15.914,260.8,1736,493,1
197,15.9792,260.8,1736,493,1
198,16.046,260.8,1736,493,1
199,16.1144,260.64,1735,493,1
200,16.1833,260.8,1736,493,1
201,16.2488,260.8,1736,493,1
202,16.314,260.8,1736,493,1
203,16.4137,260.8,1736,493,1
204,16.5111,260.8,1736,493,1
205,16.5791,260.8,1736,493,1
206,16.6475,260.8,1736,493,1
207,16.7112,260.96,1737,493,1
208,16.7783,260.8,1736,493,1
209,16.8468,260.64,1735,493,1
210,16.9201,260.64,1735,493,1
211,17.0168,260.64,1735,493,1
212,17.1158,260.64,1735,493,1
213,17.1834,260.8,1736,493,1
214,17.2461,260.8,1736,493,1
215,17.3141,260.8,1736,493,1
216,17.3836,260.8,1736,493,1
217,17.4503,260.8,1736,493,1
218,17.5179,260.8,1736,493,1
219,17.5831,260.64,1735,493,1
220,17.6479,260.8,1736,493,1
221,17.717,260.8,1736,493,1
222,17.787,260.64,1735,493,1
223,17.8825,260.64,1735,493,1
224,17.9469,260.8,1736,493,1
225,18.0154,260.8,1736,493,1
226,18.0838,260.8,1736,493,1
227,18.1498,260.8,1736,493,1
228,18.2168,260.8,1736,493,1
229,18.2832,260.96,1737,493,1
230,18.3499,260.64,1735,493,1
231,18.4162,260.96,1737,493,1
232,18.4801,261.01,1737,492,1
233,18.5468,260.8,1736,493,1
234,18.614,261.01,1737,492,1
235,18.6798,260.8,1736,493,1
236,18.7462,260.8,1736,493,1
237,18.8139,260.8,1736,493,1
238,18.8808,260.8,1736,493,1
239,18.9779,260.8,1736,493,1
240,19.0435,260.64,1735,493,1
241,19.1105,260.8,1736,493,1
242,19.1796,260.64,1735,493,1
243,19.2463,260.64,1735,493,1
244,19.3121,260.8,1736,493,1
245,19.3797,260.8,1736,493,1
246,19.4435,260.8,1736,493,1
247,19.5423,260.8,1736,493,1
248,19.6074,260.8,1736,493,1
249,19.6732,260.85,1736,492,1
250,19.7387,260.64,1735,493,1
251,19.8038,260.64,1735,493,1
252,19.8728,260.8,1736,493,1
253,19.9659,260.8,1736,493,1
254,20.0312,260.8,1736,493,1
255,20.1297,260.64,1735,493,1
256,20.1959,260.8,1736,493,1
257,20.2628,260.8,1736,493,1
258,20.3305,260.64,1735,493,1
259,20.398,260.64,1735,493,1
260,20.4627,261.01,1737,492,1
261,20.5264,260.96,1737,493,1
262,20.5954,260.96,1737,493,1
263,20.658,260.96,1737,493,1
264,20.7246,260.8,1736,493,1
265,20.7913,260.8,1736,493,1
266,20.8573,260.64,1735,493,1
267,20.9253,260.8,1736,493,1
268,21.0254,260.85,1736,492,1
269,21.1208,260.8,1736,493,1
270,21.1861,260.8,1736,493,1
271,21.2595,260.96,1737,493,1
272,21.3558,260.8,1736,493,1
273,21.4213,260.8,1736,493,1
274,21.4859,260.96,1737,493,1
275,21.5502,260.8,1736,493,1
276,21.6177,260.96,1737,493,1
277,21.6853,260.96,1737,493,1
278,21.7524,260.96,1737,493,1
279,21.8207,260.96,1737,493,1
280,21.8874,261.01,1737,492,1
281,21.9541,260.91,1737,494,1
282,22.0211,260.85,1736,492,1
283,22.0865,260.75,1736,494,1
284,22.1785,260.75,1736,494,1
285,22.2449,261.01,1737,492,1
286,22.3456,260.91,1737,494,1
287,22.4378,260.96,1737,493,1
288,22.5047,260.96,1737,493,1
289,22.5673,260.8,1736,493,1
290,22.6329,260.96,1737,493,1
291,22.6979,260.8,1736,493,1
292,22.7638,260.8,1736,493,1
293,22.8316,260.96,1737,493,1
294,22.9295,261.01,1737,492,1
295,22.9959,260.27,1733,494,1
296,23.0659,260.85,1736,492,1
297,23.132,260.8,1736,493,1
298,23.2293,260.8,1736,493,1
299,23.2964,261.01,1737,492,1
300,23.361,260.8,1736,493,1
301,23.433,260.96,1737,493,1
302,23.5,260.8,1736,493,1
303,23.6038,260.8,1736,493,1
304,23.7038,260.8,1736,493,1
305,23.7985,260.8,1736,493,1
306,23.8647,260.96,1737,493,1
307,23.929,261.17,1738,492,1
308,24.0003,260.96,1737,493,1
309,24.0651,261.17,1738,492,1
310,24.1335,260.96,1737,493,1
311,24.206,260.8,1736,493,1
