frame,time_s,raw_x,raw_y,mm_per_pixel,tags_tracked,tag_ids,pose_x,pose_y,pose_z,pose_err
0,0.1695,966.69,744.95,0.260489,1,5,1.756,53.753,380.306,0.0
1,0.2956,961.6,744.82,0.260717,1,5,0.422,53.87,381.353,0.0
2,0.4291,959.21,744.84,0.260961,1,5,-0.198,53.636,379.683,0.0
3,0.563,959.86,744.81,0.260793,1,5,-0.034,53.693,380.127,0.0
4,0.696,963.61,744.92,0.261036,1,5,0.95,53.735,380.229,0.0
5,0.8271,970.02,744.98,0.260639,1,5,2.627,53.645,379.47,0.0
6,0.9718,979.09,745.21,0.260918,1,5,5.034,53.901,380.944,0.0
7,1.0937,990.9,745.38,0.26128,1,5,8.084,53.696,379.084,0.0
8,1.2273,1005.34,745.67,0.261504,1,5,11.877,53.859,379.71,0.0
9,1.3616,1022.34,746.02,0.260736,1,5,16.326,53.859,379.027,0.0
10,1.4973,1042.09,746.49,0.261528,1,5,21.33,53.51,375.935,0.0
11,1.6281,1064.26,746.73,0.261447,1,5,26.976,53.457,374.686,0.0
12,1.7623,1089.33,746.93,0.261113,1,5,32.887,52.638,368.529,0.0
15,2.1679,1170.1,748.77,0.260916,1,5,54.082,53.744,372.973,0.0
16,2.2952,1197.42,749.23,0.261349,1,5,60.856,53.693,371.851,0.0
17,2.4305,1224.15,749.93,0.260607,1,5,67.839,53.906,372.357,0.0
18,2.562,1251.3,750.43,0.261313,1,5,74.633,53.906,371.528,0.0
19,2.6965,1278.31,750.85,0.260807,1,5,82.981,54.964,377.984,0.0
20,2.827,1305.3,751.32,0.261205,1,5,90.17,55.186,378.674,0.0
21,2.962,1332.43,751.95,0.260752,1,5,96.822,55.104,376.961,0.0
22,3.0936,1359.25,752.62,0.26086,1,5,104.816,55.82,380.672,0.0
23,3.2287,1385.69,752.97,0.260627,1,5,111.704,55.884,380.538,0.0
24,3.3649,1409.76,753.49,0.260991,1,5,117.9,55.957,380.153,0.0
25,3.4967,1430.9,753.69,0.260965,1,5,123.912,56.243,381.569,0.0
26,3.6285,1449.38,754.1,0.26083,1,5,128.713,56.305,381.357,0.0
27,3.761,1465.25,754.11,0.260892,1,5,133.145,56.463,382.214,0.0
28,3.8934,1478.33,754.56,0.261551,1,5,136.799,56.617,382.683,0.0
29,4.0299,1488.69,754.65,0.261478,1,5,139.777,56.742,383.339,0.0
30,4.1632,1496.4,754.81,0.261015,1,5,141.386,56.621,382.177,0.0
31,4.2916,1501.66,754.97,0.26087,1,5,142.796,56.662,382.235,0.0
32,4.4307,1504.16,754.9,0.260743,1,5,143.563,56.727,382.54,0.0
33,4.5671,1503.88,755.02,0.260911,1,5,143.526,56.744,382.613,0.0
34,4.6938,1500.24,754.93,0.260963,1,5,142.153,56.573,381.57,0.0
35,4.8316,1494.18,754.82,0.26098,1,5,140.699,56.596,381.936,0.0
36,4.9649,1485.37,754.62,0.261239,1,5,138.343,56.53,381.845,0.0
37,5.0958,1473.79,754.43,0.261315,1,5,135.668,56.641,382.875,0.0
