frame,time_s,raw_x,raw_y,mm_per_pixel,tags_tracked,tag_ids,pose_x,pose_y,pose_z,pose_err
38,5.2307,1459.67,754.22,0.260801,1,5,131.341,56.295,381.14,0.0
39,5.3639,1442.77,753.96,0.260719,1,5,126.731,56.162,380.643,0.0
40,5.4972,1423.34,753.62,0.261117,1,5,121.701,56.109,380.898,0.0
41,5.6322,1401.0,753.32,0.260887,1,5,115.741,55.994,380.584,0.0
42,5.7715,1375.83,752.88,0.260657,1,5,109.222,55.913,380.898,0.0
43,5.891,1349.08,752.41,0.261042,1,5,101.81,55.58,379.434,0.0
44,6.0336,1322.1,751.73,0.260737,1,5,94.921,55.503,380.023,0.0
45,6.1625,1295.12,751.24,0.261053,1,5,87.875,55.403,380.327,0.0
46,6.3,1268.09,750.48,0.26137,1,5,80.211,54.853,377.578,0.0
47,6.4321,1240.95,750.13,0.26066,1,5,72.837,54.461,375.938,0.0
48,6.5642,1213.87,749.49,0.261186,1,5,65.013,53.671,371.401,0.0
49,6.6958,1187.16,749.22,0.260662,1,5,58.682,54.03,374.617,0.0
51,6.9669,1132.82,747.97,0.261235,1,5,44.383,53.397,371.942,0.0
52,7.0982,1105.87,747.58,0.261622,1,5,37.052,52.68,367.793,0.0
53,7.2306,1079.5,747.06,0.261134,1,5,30.667,53.122,371.816,0.0
54,7.3652,1055.57,746.7,0.261341,1,5,24.557,53.079,372.384,0.0
55,7.4989,1034.53,746.26,0.261104,1,5,19.314,53.383,375.432,0.0
56,7.6281,1015.7,745.94,0.260977,1,5,14.533,53.556,377.263,0.0
57,7.7638,999.77,745.51,0.26108,1,5,10.427,53.867,380.069,0.0
58,7.8934,986.4,745.22,0.261171,1,5,6.954,53.956,381.134,0.0
59,8.0291,975.69,745.09,0.260668,1,5,4.106,53.584,378.838,0.0
60,8.163,967.66,744.88,0.260884,1,5,2.015,53.854,381.137,0.0
61,8.2968,962.14,744.81,0.260632,1,5,0.57,53.568,379.242,0.0
62,8.429,959.35,744.75,0.260924,1,5,-0.17,53.937,381.981,0.0
63,8.5629,959.47,744.77,0.260967,1,5,-0.139,53.685,380.162,0.0
64,8.6961,962.87,744.87,0.260699,1,5,0.757,53.633,379.593,0.0
65,8.8324,968.92,744.99,0.260738,1,5,2.339,53.576,378.983,0.0
66,8.9621,977.61,745.1,0.260801,1,5,4.601,53.496,378.194,0.0
67,9.1076,988.97,745.36,0.261034,1,5,7.596,53.684,379.204,0.0
68,9.2311,1003.02,745.63,0.261105,1,5,11.255,53.726,378.916,0.0
69,9.3631,1019.69,745.93,0.260936,1,5,15.607,53.76,378.518,0.0
70,9.5072,1039.27,746.3,0.261356,1,5,20.675,53.796,378.102,0.0
71,9.6322,1060.92,746.51,0.261301,1,5,25.848,52.898,371.023,0.0
