frame,time_s,position_mm,raw_x,raw_y,points_tracked
0,0.024,225.93,1636,841,1
1,0.1209,226.21,1639,845,1
2,0.1885,226.32,1640,846,1
3,0.2538,226.28,1640,847,1
4,0.3551,226.18,1640,849,1
5,0.4531,226.18,1640,849,1
6,0.5203,225.93,1639,851,1
7,0.62,224.35,1632,861,1
8,0.6855,223.99,1630,862,1
9,0.7527,224.98,1633,851,1
10,0.8193,226.59,1639,837,1
11,0.883,228.62,1648,824,1
12,0.9526,230.42,1657,816,1
13,1.0216,231.8,1664,810,1
14,1.0864,233.08,1670,803,1
15,1.1539,234.4,1676,795,1
16,1.2216,235.76,1681,783,1
17,1.2902,237.36,1687,769,1
18,1.355,223.23,1587,734,1
19,1.4207,240.48,1702,753,1
20,1.4905,240.75,1704,754,1
21,1.5841,224.87,1598,736,1
22,1.6826,223.55,1595,754,1
23,1.7767,223.04,1598,775,1
24,1.8405,223.06,1605,798,1
25,1.9378,224.78,1621,815,1
26,2.0053,223.18,1621,849,1
27,2.1043,224.19,1636,878,1
28,2.1732,225.97,1650,887,1
29,2.2375,230.49,1676,878,1
30,2.3457,234.96,1710,897,1
31,2.445,240.64,1746,897,1
32,2.5412,231.8,1675,847,1
33,2.6368,248.06,1793,897,1
34,2.7056,250.74,1807,887,1
35,2.8047,247.59,1779,860,1
36,2.8717,241.83,1744,865,1
37,2.94,259.12,1853,863,1
38,3.0044,254.06,1820,860,1
39,3.0728,265.9,1859,739,1
40,3.17,258.57,1814,744,1
41,3.2338,253.22,1778,737,1
42,3.3053,247.66,1738,721,1
43,3.3703,232.25,1668,814,1
44,3.4345,225.79,1625,807,1
45,3.5073,221.77,1598,802,1
46,3.572,213.45,1545,801,1
47,3.6707,205.93,1497,800,1
48,3.769,196.56,1437,798,1
49,3.8391,201.68,1505,917,1
50,3.9373,192.91,1447,909,1
51,4.012,187.07,1407,899,1
52,4.1044,180.78,1365,892,1
53,4.1784,176.81,1336,879,1
54,4.2542,173.51,1310,862,1
55,4.3474,169.88,1281,842,1
56,4.4273,165.98,1253,831,1
57,4.524,160.46,1215,821,1
58,4.6215,154.02,1170,807,1
59,4.6926,148.46,1133,801,1
60,4.7919,140.21,1078,792,1
61,4.8891,133.25,1033,789,1
62,4.9883,129.53,1010,791,1
63,5.0691,128.43,1003,791,1
64,5.165,129.59,1008,783,1
65,5.2606,134.18,1029,756,1
66,5.3571,140.72,1055,704,1
67,5.4534,149.64,1076,585,1
68,5.5546,152.93,1076,515,1
69,5.6264,161.92,1141,542,1
70,5.6914,159.44,1111,494,1
71,5.7888,168.69,1189,559,1
72,5.889,177.59,1269,638,1
73,5.9879,187.65,1348,689,1
74,6.0893,183.61,1306,634,1
75,6.1588,169.21,1218,645,1
76,6.2257,177.34,1268,640,1
77,6.2939,183.74,1308,638,1
78,6.3642,188.27,1337,639,1
79,6.4533,191.39,1361,653,1
80,6.5184,192.44,1370,661,1
81,6.5856,192.82,1373,663,1
82,6.6787,193.06,1376,668,1
83,6.7744,192.41,1377,685,1
84,6.8716,191.96,1384,718,1
85,6.9389,191.78,1390,742,1
86,7.0075,192.23,1397,756,1
87,7.1047,192.89,1406,772,1
88,7.2045,193.29,1413,787,1
89,7.2717,193.28,1415,794,1
90,7.3389,193.14,1415,797,1
91,7.4114,193.5,1417,796,1
92,7.4749,194.69,1421,784,1
93,7.5725,198.08,1432,749,1
94,7.6426,200.97,1442,721,1
95,7.706,203.49,1449,691,1
96,7.7725,205.59,1454,663,1
97,7.8384,207.47,1459,640,1
98,7.9063,208.69,1462,624,1
99,7.9719,209.38,1464,616,1
100,8.0438,209.65,1466,617,1
101,8.1397,209.8,1475,644,1
102,8.2381,212.82,1504,677,1
103,8.3116,219.04,1550,699,1
104,8.4101,215.31,1526,698,1
105,8.4802,218.97,1557,724,1
106,8.5479,231.68,1628,692,1
107,8.6408,232.23,1647,744,1
108,8.7384,232.28,1650,753,1
109,8.8103,230.86,1641,753,1
110,8.9143,228.92,1615,707,1
111,8.987,218.7,1555,723,1
112,9.054,230.42,1623,702,1
113,9.1197,222.19,1564,679,1
114,9.1856,210.52,1484,659,1
115,9.248,199.99,1408,628,1
116,9.3183,188.94,1332,608,1
117,9.4144,174.56,1234,585,1
118,9.4815,166.18,1177,572,1
119,9.5478,160.19,1136,562,1
120,9.6446,154.36,1100,565,1
121,9.7431,151.0,1090,603,1
122,9.843,148.93,1096,667,1
123,9.9395,145.86,1098,739,1
124,10.0079,142.86,1093,786,1
125,10.0719,139.16,1083,831,1
126,10.1472,135.4,1069,864,1
127,10.21,134.77,1065,864,1
128,10.3052,139.95,1082,811,1
129,10.3723,145.74,1102,755,1
130,10.4431,151.35,1120,696,1
131,10.5069,155.85,1133,644,1
132,10.6058,159.63,1142,594,1
133,10.6815,160.14,1142,583,1
134,10.7761,157.26,1133,614,1
135,10.8456,153.08,1119,656,1
136,10.9438,145.04,1088,723,1
137,11.0088,138.77,1062,769,1
138,11.0729,133.4,1039,806,1
139,11.1426,131.79,1030,810,1
140,11.2059,134.87,1040,778,1
141,11.2764,141.56,1066,723,1
142,11.3736,154.51,1120,629,1
143,11.4426,163.89,1161,567,1
144,11.5178,172.51,1201,518,1
145,11.5855,178.88,1233,490,1
146,11.6845,184.02,1268,498,1
147,11.7816,186.21,1295,542,1
148,11.8802,186.86,1323,622,1
149,11.9769,187.5,1353,709,1
150,12.0436,189.62,1379,751,1
151,12.1445,198.34,1442,777,1
152,12.2089,207.74,1504,785,1
153,12.2735,223.6,1578,696,1
154,12.3452,210.72,1516,762,1
155,12.4134,217.43,1558,760,1
156,12.5112,226.98,1617,755,1
157,12.5827,229.85,1640,771,1
158,12.6827,234.8,1669,763,1
159,12.78,232.33,1656,772,1
160,12.8782,226.22,1617,771,1
161,12.9807,217.07,1556,761,1
162,13.0821,225.69,1599,722,1
163,13.1837,230.28,1663,839,1
164,13.2811,225.62,1646,881,1
165,13.3773,221.46,1625,899,1
166,13.4735,217.49,1607,923,1
167,13.5414,233.82,1689,851,1
168,13.6064,242.23,1765,927,1
169,13.6762,239.61,1726,852,1
170,13.7466,257.26,1817,782,1
171,13.8465,257.21,1817,783,1
172,13.9436,257.26,1817,782,1
173,14.0409,257.1,1816,782,1
174,14.1438,257.1,1816,782,1
175,14.2436,257.26,1817,782,1
176,14.3494,257.26,1817,782,1
177,14.4466,257.26,1817,782,1
178,14.5432,257.26,1817,782,1
179,14.6126,257.26,1817,782,1
180,14.679,257.26,1817,782,1
181,14.7431,257.26,1817,782,1
182,14.8091,257.1,1816,782,1
183,14.8752,257.1,1816,782,1
184,14.9421,257.1,1816,782,1
185,15.0119,257.1,1816,782,1
186,15.0772,257.26,1817,782,1
187,15.1428,257.26,1817,782,1
188,15.2086,257.21,1817,783,1
189,15.2787,257.15,1816,781,1
190,15.3768,257.21,1817,783,1
191,15.4771,257.21,1817,783,1
192,15.5803,257.3,1817,781,1
193,15.6805,257.1,1816,782,1
194,15.7778,257.16,1817,784,1
195,15.8443,257.19,1816,780,1
196,15.9145,257.16,1817,784,1
197,15.9802,257.15,1816,781,1
198,16.0779,257.16,1817,784,1
199,16.1765,257.05,1816,783,1
200,16.2796,257.15,1816,781,1
201,16.3768,257.26,1817,782,1
202,16.4806,257.05,1816,783,1
203,16.5496,257.15,1816,781,1
204,16.6165,257.05,1816,783,1
205,16.7133,257.1,1816,782,1
206,16.7785,257.05,1816,783,1
207,16.8772,257.1,1816,782,1
208,16.9765,257.26,1817,782,1
209,17.0801,257.26,1817,782,1
210,17.1777,257.26,1817,782,1
211,17.2768,257.21,1817,783,1
212,17.3522,257.26,1817,782,1
213,17.4172,257.21,1817,783,1
214,17.5134,253.3,1800,809,1
215,17.5842,257.1,1816,782,1
216,17.6466,257.1,1816,782,1
217,17.7127,257.1,1816,782,1
218,17.7789,257.1,1816,782,1
219,17.8466,257.1,1816,782,1
220,17.9136,257.1,1816,782,1
221,17.98,253.27,1795,793,1
222,18.0776,242.71,1706,719,1
223,18.1816,233.97,1616,603,1
224,18.2799,225.71,1566,611,1
225,18.376,208.54,1464,634,1
226,18.4471,202.01,1425,642,1
227,18.547,204.61,1437,627,1
228,18.6464,211.2,1477,621,1
229,18.7473,217.57,1515,613,1
230,18.8457,221.66,1540,610,1
231,18.9479,213.13,1483,600,1
232,19.0435,219.46,1524,603,1
233,19.1183,235.38,1627,610,1
234,19.2135,240.84,1664,618,1
235,19.3122,242.53,1675,619,1
236,19.4111,244.23,1687,623,1
237,19.4861,244.48,1688,621,1
238,19.5538,244.42,1687,619,1
239,19.657,242.67,1672,606,1
240,19.7561,231.59,1597,590,1
241,19.8507,223.52,1542,577,1
242,19.9486,210.69,1455,558,1
243,20.0459,195.56,1351,531,1
244,20.1457,178.56,1234,500,1
245,20.217,167.14,1155,478,1
246,20.3136,152.58,1052,442,1
247,20.4148,165.9,1106,340,1
248,20.5171,152.22,1027,366,1
249,20.6148,145.96,990,375,1
250,20.7119,140.28,957,385,1
251,20.7839,137.63,942,391,1
252,20.8514,135.33,928,393,1
253,20.9686,132.32,911,400,1
254,21.0709,131.54,907,403,1
255,21.1669,131.4,907,406,1
256,21.2627,131.56,908,406,1
257,21.3643,132.02,910,403,1
258,21.4323,132.07,910,402,1
259,21.5296,152.19,1028,370,1
260,21.6296,145.84,1023,488,1
261,21.7301,135.6,930,394,1
262,21.8042,112.43,810,484,1
263,21.8985,117.16,834,464,1
264,21.9962,125.09,881,453,1
265,22.0728,130.69,915,448,1
