frame,time_s,raw_x,raw_y,mm_per_pixel,tracking_source,tracking_confidence,tags_tracked,tag_ids,tag_sources,pose_x,pose_y,pose_z,pose_err,video_frame
1,1.3625,509.33,1259.97,0.221551,apriltag,1.0,1,5,5:apriltag,-6.77,66.227,320.146,0.0,327
2,1.3667,507.55,1262.3,0.220679,apriltag,1.0,1,5,5:apriltag,-7.164,66.796,320.529,0.0,328
3,1.3708,507.69,1263.81,0.22089,apriltag,1.0,1,5,5:apriltag,-7.195,67.607,322.662,0.0,329
4,1.375,509.27,1263.85,0.220931,apriltag,1.0,1,5,5:apriltag,-6.793,67.181,320.594,0.0,330
5,1.3792,510.4,1261.08,0.225328,apriltag,1.0,1,5,5:apriltag,-6.531,66.453,320.122,0.0,331
6,1.3833,510.38,1255.65,0.225751,apriltag,1.0,1,5,5:apriltag,-6.459,64.656,317.249,0.0,332
7,1.3875,509.51,1248.85,0.222445,apriltag,1.0,1,5,5:apriltag,-6.48,61.692,309.567,0.0,333
8,1.3917,508.0,1239.5,0.222445,opencv,0.967,1,5,5:opencv,-7.118,62.173,,,334
9,1.3958,508.0,1227.5,0.222445,opencv,0.933,1,5,5:opencv,-7.118,59.504,,,335
10,1.4,509.0,1213.5,0.222445,opencv,0.9,1,5,5:opencv,-6.896,56.39,,,336
11,1.4042,510.0,1198.5,0.222445,opencv,0.867,1,5,5:opencv,-6.673,53.053,,,337
12,1.4083,511.0,1184.5,0.222445,opencv,0.833,1,5,5:opencv,-6.451,49.939,,,338
13,1.4125,511.0,1169.5,0.222445,opencv,0.8,1,5,5:opencv,-6.451,46.602,,,339
14,1.4167,511.0,1155.5,0.222445,opencv,0.767,1,5,5:opencv,-6.451,43.488,,,340
15,1.4208,511.0,1141.5,0.222445,opencv,0.733,1,5,5:opencv,-6.451,40.374,,,341
16,1.425,511.0,1127.5,0.222445,opencv,0.7,1,5,5:opencv,-6.451,37.26,,,342
17,1.4292,511.0,1112.5,0.222445,opencv,0.667,1,5,5:opencv,-6.451,33.923,,,343
18,1.4333,513.0,1097.5,0.222445,opencv,0.633,1,5,5:opencv,-6.006,30.586,,,344
19,1.4375,513.0,1082.5,0.222445,opencv,0.6,1,5,5:opencv,-6.006,27.25,,,345
20,1.4417,514.0,1068.5,0.222445,opencv,0.567,1,5,5:opencv,-5.784,24.135,,,346
21,1.4458,513.0,1054.5,0.222445,opencv,0.533,1,5,5:opencv,-6.006,21.021,,,347
22,1.45,513.0,1040.5,0.222445,opencv,0.5,1,5,5:opencv,-6.006,17.907,,,348
23,1.4542,513.0,1025.5,0.222445,opencv,0.467,1,5,5:opencv,-6.006,14.57,,,349
