millis_ms,t,position,handleY,velocity,acceleration,jerk
0,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
10,0.010643319,0.021286638,1.000000000,2.000000000,-0.000000000,-892.879959681
20,0.021286637,0.042573541,1.000000000,2.000000000,0.000000000,-343.930174627
30,0.031929956,0.063859926,1.000000000,2.000000000,0.000000000,-200.908629249
40,0.042573274,0.085146550,1.000000000,2.000000000,-0.000000000,-139.011019650
50,0.053216593,0.106433186,1.000000000,2.000000000,0.000000000,-105.497340417
60,0.063859911,0.127721751,1.000000000,2.000000000,0.000000000,-84.876826697
70,0.074503230,0.149007061,1.000000000,2.000000000,0.000000000,-71.100930147
80,0.085146549,0.170293281,1.000000000,2.000000000,0.000000000,-61.352367540
90,0.095789867,0.191579789,1.000000000,2.000000000,-0.000000000,-54.160098966
100,0.106433186,0.212866387,1.000000000,2.000000000,-0.000000000,-48.685513630
110,0.117076504,0.234153013,1.000000000,2.000000000,-0.000000000,-44.418455271
120,0.127719823,0.255439647,1.000000000,2.000000000,-0.000000000,-41.032350572
130,0.138363142,0.276726283,1.000000000,2.000000000,0.000000000,-38.309443853
140,0.149006460,0.298012920,1.000000000,2.000000000,0.000000000,-36.099671275
150,0.159649779,0.319299557,1.000000000,2.000000000,-0.000000000,-34.296827774
160,0.170293097,0.340587996,1.000000000,2.000000000,0.000000000,-32.824032782
170,0.180936416,0.361873476,1.000000000,2.000000000,0.000000000,-31.625212007
180,0.191579734,0.383159664,1.000000000,2.000000000,-0.000000000,-30.658281783
190,0.202223053,0.404446153,1.000000000,2.000000000,0.000000000,-29.892114230
200,0.212866372,0.425732751,1.000000000,2.000000000,0.000000000,-29.303623130
210,0.223509690,0.447019381,1.000000000,2.000000000,-0.000000000,-28.876007756
220,0.234153009,0.468306018,1.000000000,2.000000000,0.000000000,-28.597561104
230,0.244796327,0.489593323,1.000000000,2.000000000,-0.000000000,-28.460882233
240,0.255439646,0.510878529,1.000000000,2.000000000,0.000000000,-28.462407501
250,0.266082964,0.532165929,1.000000000,2.000000000,-0.000000000,-28.602177727
