frame,time_s,raw_x,raw_y,mm_per_pixel,tracking_source,tracking_confidence,tags_tracked,tag_ids,tag_sources,pose_x,pose_y,pose_z,pose_err,video_frame
0,0.1681,539.25,629.84,0.122737,apriltag,1.0,1,5,5:apriltag,-0.103,-40.518,177.963,0.0,833
1,0.2189,537.08,632.31,0.122228,apriltag,1.0,1,5,5:apriltag,-0.363,-39.86,176.5,0.0,834
2,0.2715,536.63,643.1,0.122051,apriltag,1.0,1,5,5:apriltag,-0.432,-38.687,177.04,0.0,835
3,0.381,538.0,658.0,0.122051,opencv,0.967,1,5,5:opencv,,,,,836
4,0.4846,540.0,677.0,0.122051,opencv,0.933,1,5,5:opencv,,,,,837
5,0.5894,541.0,700.0,0.122051,opencv,0.9,1,5,5:opencv,,,,,838
6,0.7016,541.0,725.0,0.122051,opencv,0.867,1,5,5:opencv,,,,,839
7,0.8091,541.0,751.0,0.122051,opencv,0.833,1,5,5:opencv,,,,,840
8,0.9159,542.0,777.0,0.122051,opencv,0.8,1,5,5:opencv,,,,,841
9,1.0267,545.0,804.0,0.122051,opencv,0.767,1,5,5:opencv,,,,,842
10,1.1354,546.0,830.0,0.122051,opencv,0.733,1,5,5:opencv,,,,,843
11,1.2405,546.0,856.0,0.122051,opencv,0.7,1,5,5:opencv,,,,,844
12,1.3519,546.0,883.0,0.122051,opencv,0.667,1,5,5:opencv,,,,,845
13,1.4619,547.0,910.0,0.122051,opencv,0.633,1,5,5:opencv,,,,,846
14,1.5689,549.0,936.0,0.122051,opencv,0.6,1,5,5:opencv,,,,,847
15,1.6803,551.0,962.0,0.122051,opencv,0.567,1,5,5:opencv,,,,,848
16,1.7874,551.0,988.0,0.122051,opencv,0.533,1,5,5:opencv,,,,,849
17,1.8953,552.0,1014.0,0.122051,opencv,0.5,1,5,5:opencv,,,,,850
18,1.9513,553.2,1039.64,0.12357,apriltag,1.0,1,5,5:apriltag,1.558,9.613,175.704,0.0,851
19,2.0583,553.5,1065.0,0.12357,opencv,0.967,1,5,5:opencv,,,,,852
20,2.1628,555.5,1092.0,0.12357,opencv,0.933,1,5,5:opencv,,,,,853
21,2.2189,558.4,1119.84,0.12333,apriltag,1.0,1,5,5:apriltag,2.087,18.954,171.923,0.0,854
22,2.3238,558.0,1146.0,0.12333,opencv,0.967,1,5,5:opencv,,,,,855
23,2.4267,559.0,1173.0,0.12333,opencv,0.933,1,5,5:opencv,,,,,856
24,2.4823,559.57,1199.39,0.122757,apriltag,1.0,1,5,5:apriltag,2.391,29.055,176.085,0.0,857
25,2.5902,560.0,1224.0,0.122757,opencv,0.967,1,5,5:opencv,,,,,858
26,2.7028,561.0,1246.0,0.122757,opencv,0.933,1,5,5:opencv,,,,,859
27,2.759,562.57,1253.44,0.120039,apriltag,1.0,1,5,5:apriltag,2.697,35.107,173.348,0.0,860
28,2.8147,562.28,1253.65,0.119902,apriltag,1.0,1,5,5:apriltag,2.649,34.986,172.463,0.0,861
29,2.868,562.09,1253.39,0.119901,apriltag,1.0,1,5,5:apriltag,2.653,35.088,173.337,0.0,862
30,2.9238,561.5,1248.72,0.120382,apriltag,1.0,1,5,5:apriltag,2.642,34.711,174.629,0.0,863
31,2.9785,562.18,1236.11,0.121136,apriltag,1.0,1,5,5:apriltag,2.652,33.358,175.227,0.0,864
32,3.0358,560.14,1220.25,0.121896,apriltag,1.0,1,5,5:apriltag,2.446,31.393,174.944,0.0,865
33,3.0919,559.56,1199.67,0.1232,apriltag,1.0,1,5,5:apriltag,2.387,29.357,177.696,0.0,866
34,3.1998,557.5,1175.5,0.1232,opencv,0.967,1,5,5:opencv,,,,,867
35,3.2521,557.32,1151.83,0.123152,apriltag,1.0,1,5,5:apriltag,2.066,23.324,176.069,0.0,868
36,3.3637,557.0,1126.5,0.123152,opencv,0.967,1,5,5:opencv,,,,,869
37,3.4733,556.0,1101.5,0.123152,opencv,0.933,1,5,5:opencv,,,,,870
38,3.5818,555.0,1075.5,0.123152,opencv,0.9,1,5,5:opencv,,,,,871
39,3.689,553.0,1050.5,0.123152,opencv,0.867,1,5,5:opencv,,,,,872
40,3.7429,552.42,1024.32,0.123663,apriltag,1.0,1,5,5:apriltag,1.524,7.868,177.166,0.0,873
41,3.8459,550.5,998.0,0.123663,opencv,0.967,1,5,5:opencv,,,,,874
42,3.9553,550.5,973.0,0.123663,opencv,0.933,1,5,5:opencv,,,,,875
43,4.0609,549.5,947.0,0.123663,opencv,0.9,1,5,5:opencv,,,,,876
44,4.113,548.19,920.39,0.12394,apriltag,1.0,1,5,5:apriltag,1.038,-4.734,173.691,0.0,877
45,4.2207,545.5,893.5,0.12394,opencv,0.967,1,5,5:opencv,,,,,878
46,4.3252,544.5,867.5,0.12394,opencv,0.933,1,5,5:opencv,,,,,879
47,4.3789,544.97,844.25,0.123156,apriltag,1.0,1,5,5:apriltag,0.578,-13.979,174.862,0.0,880
48,4.4896,542.0,817.0,0.123156,opencv,0.967,1,5,5:opencv,,,,,881
49,4.5436,543.38,791.85,0.12353,apriltag,1.0,1,5,5:apriltag,0.403,-20.218,174.749,0.0,882
50,4.6491,542.0,765.5,0.12353,opencv,0.967,1,5,5:opencv,,,,,883
51,4.7545,540.0,739.5,0.12353,opencv,0.933,1,5,5:opencv,,,,,884
52,4.8594,539.0,714.5,0.12353,opencv,0.9,1,5,5:opencv,,,,,885
53,4.9638,538.0,688.5,0.12353,opencv,0.867,1,5,5:opencv,,,,,886
54,5.0695,537.0,662.5,0.12353,opencv,0.833,1,5,5:opencv,,,,,887
55,5.1717,537.0,638.5,0.12353,opencv,0.8,1,5,5:opencv,,,,,888
56,5.2248,537.32,628.44,0.121927,apriltag,1.0,1,5,5:apriltag,-0.28,-40.33,176.478,0.0,889
57,5.2795,538.32,628.71,0.122893,apriltag,1.0,1,5,5:apriltag,-0.173,-40.633,177.812,0.0,890
58,5.3333,537.12,629.44,0.122129,apriltag,1.0,1,5,5:apriltag,-0.339,-40.11,176.055,0.0,891
59,5.3865,535.41,637.2,0.121828,apriltag,1.0,1,5,5:apriltag,-0.504,-39.518,177.37,0.0,892
60,5.4892,535.5,648.0,0.121828,opencv,0.967,1,5,5:opencv,,,,,893
61,5.5943,537.5,665.0,0.121828,opencv,0.933,1,5,5:opencv,,,,,894
62,5.7033,538.5,686.0,0.121828,opencv,0.9,1,5,5:opencv,,,,,895
63,5.808,538.5,710.0,0.121828,opencv,0.867,1,5,5:opencv,,,,,896
64,5.917,538.5,735.0,0.121828,opencv,0.833,1,5,5:opencv,,,,,897
65,6.0267,539.5,762.0,0.121828,opencv,0.8,1,5,5:opencv,,,,,898
66,6.1306,541.5,788.0,0.121828,opencv,0.767,1,5,5:opencv,,,,,899
67,6.2385,543.5,814.0,0.121828,opencv,0.733,1,5,5:opencv,,,,,900
68,6.344,544.5,840.0,0.121828,opencv,0.7,1,5,5:opencv,,,,,901
69,6.4498,544.5,867.0,0.121828,opencv,0.667,1,5,5:opencv,,,,,902
70,6.5575,545.5,894.0,0.121828,opencv,0.633,1,5,5:opencv,,,,,903
71,6.6637,546.5,921.0,0.121828,opencv,0.6,1,5,5:opencv,,,,,904
72,6.7682,548.5,947.0,0.121828,opencv,0.567,1,5,5:opencv,,,,,905
73,6.826,551.36,974.15,0.12319,apriltag,1.0,1,5,5:apriltag,1.389,1.741,177.732,0.0,906
74,6.8814,552.64,1000.03,0.123031,apriltag,1.0,1,5,5:apriltag,1.46,4.792,173.86,0.0,907
75,6.9895,552.0,1026.0,0.123031,opencv,0.967,1,5,5:opencv,,,,,908
