frame,time_s,raw_x,raw_y,mm_per_pixel,tags_tracked,tag_ids,pose_x,pose_y,pose_z,pose_err
0,0.1732,1102.82,747.62,0.261899,1,5,36.445,52.901,369.682,0.0
3,0.6027,1190.53,749.21,0.261092,1,5,59.2,53.72,372.343,0.0
4,0.7344,1217.35,749.75,0.261214,1,5,65.952,53.741,371.55,0.0
5,0.8571,1230.78,749.96,0.261249,1,5,70.638,54.735,378.052,0.0
6,0.9669,1264.84,750.6,0.261526,1,5,78.886,54.471,375.291,0.0
7,1.0677,1284.79,750.94,0.260654,1,5,84.926,55.129,378.998,0.0
8,1.167,1305.26,751.27,0.26168,1,5,90.043,55.15,378.258,0.0
9,1.2671,1325.53,751.83,0.260912,1,5,95.954,55.592,380.522,0.0
10,1.3887,1339.14,752.09,0.260962,1,5,99.497,55.665,380.569,0.0
11,1.5014,1372.63,752.63,0.260941,1,5,107.953,55.626,379.35,0.0
12,1.5993,1391.82,753.03,0.260599,1,5,113.715,56.1,381.847,0.0
13,1.6993,1409.63,753.29,0.261244,1,5,118.455,56.192,382.004,0.0
14,1.8002,1425.73,753.55,0.261233,1,5,122.445,56.153,381.254,0.0
15,1.9044,1435.63,753.84,0.261179,1,5,125.231,56.308,381.793,0.0
16,2.035,1457.49,754.18,0.260923,1,5,130.806,56.299,381.267,0.0
17,2.1333,1468.51,754.41,0.261201,1,5,134.31,56.612,382.982,0.0
18,2.2343,1478.11,754.51,0.261362,1,5,136.645,56.568,382.411,0.0
19,2.3345,1486.1,754.68,0.261529,1,5,138.775,56.629,382.496,0.0
20,2.4319,1490.73,754.62,0.261369,1,5,140.202,56.712,383.037,0.0
21,2.5349,1497.88,754.7,0.261165,1,5,142.019,56.725,382.859,0.0
22,2.6337,1501.39,754.92,0.261666,1,5,143.133,56.814,383.331,0.0
23,2.733,1503.57,754.91,0.260982,1,5,143.272,56.641,382.175,0.0
24,2.8322,1504.14,754.84,0.261159,1,5,143.597,56.711,382.639,0.0
25,2.9582,1503.65,754.84,0.260961,1,5,143.158,56.597,381.84,0.0
