frame,time_s,raw_x,raw_y,mm_per_pixel,tracking_source,tracking_confidence,tags_tracked,tag_ids,tag_sources,pose_x,pose_y,pose_z,pose_err,video_frame
63,0.8542,511.5,1165.5,0.224061,opencv,0.8,1,5,5:opencv,-6.386,46.045,,,205
64,0.8583,511.5,1151.5,0.224061,opencv,0.767,1,5,5:opencv,-6.386,42.908,,,206
65,0.8625,510.5,1137.5,0.224061,opencv,0.733,1,5,5:opencv,-6.61,39.771,,,207
66,0.8667,510.5,1122.5,0.224061,opencv,0.7,1,5,5:opencv,-6.61,36.41,,,208
67,0.8708,511.5,1107.5,0.224061,opencv,0.667,1,5,5:opencv,-6.386,33.049,,,209
68,0.875,512.5,1092.5,0.224061,opencv,0.633,1,5,5:opencv,-6.162,29.688,,,210
69,0.8792,513.5,1078.5,0.224061,opencv,0.6,1,5,5:opencv,-5.938,26.551,,,211
70,0.8833,514.5,1063.5,0.224061,opencv,0.567,1,5,5:opencv,-5.714,23.19,,,212
71,0.8875,514.33,1051.84,0.228203,apriltag,1.0,1,5,5:apriltag,-5.569,19.879,313.661,0.0,213
72,0.8917,514.29,1044.13,0.227425,apriltag,1.0,1,5,5:apriltag,-5.721,18.745,322.504,0.0,214
73,0.8958,515.05,1040.92,0.225678,apriltag,1.0,1,5,5:apriltag,-5.605,18.271,326.637,0.0,215
74,0.9,515.71,1039.44,0.225191,apriltag,1.0,1,5,5:apriltag,-5.443,17.781,324.077,0.0,216
75,0.9042,514.49,1039.57,0.228042,apriltag,1.0,1,5,5:apriltag,-5.797,18.083,329.494,0.0,217
76,0.9083,513.19,1041.37,0.225737,apriltag,1.0,1,5,5:apriltag,-6.006,18.257,325.206,0.0,218
77,0.9125,512.64,1044.75,0.228014,apriltag,1.0,1,5,5:apriltag,-5.973,18.57,317.582,0.0,219
78,0.9167,513.95,1050.69,0.227266,apriltag,1.0,1,5,5:apriltag,-5.598,19.515,311.541,0.0,220
79,0.9208,515.62,1059.2,0.225857,apriltag,1.0,1,5,5:apriltag,-5.272,21.411,312.531,0.0,221
80,0.925,514.5,1070.5,0.225857,opencv,0.967,1,5,5:opencv,-5.759,24.957,,,222
81,0.9292,512.5,1083.5,0.225857,opencv,0.933,1,5,5:opencv,-6.211,27.893,,,223
82,0.9333,511.5,1097.5,0.225857,opencv,0.9,1,5,5:opencv,-6.437,31.055,,,224
83,0.9375,510.5,1110.5,0.225857,opencv,0.867,1,5,5:opencv,-6.663,33.991,,,225
84,0.9417,511.5,1124.5,0.225857,opencv,0.833,1,5,5:opencv,-6.437,37.153,,,226
85,0.9458,512.5,1138.5,0.225857,opencv,0.8,1,5,5:opencv,-6.211,40.315,,,227
86,0.95,511.5,1152.5,0.225857,opencv,0.767,1,5,5:opencv,-6.437,43.477,,,228
87,0.9542,510.5,1166.5,0.225857,opencv,0.733,1,5,5:opencv,-6.663,46.639,,,229
88,0.9583,509.5,1180.5,0.225857,opencv,0.7,1,5,5:opencv,-6.889,49.801,,,230
89,0.9625,509.5,1195.5,0.225857,opencv,0.667,1,5,5:opencv,-6.889,53.189,,,231
90,0.9667,509.5,1209.5,0.225857,opencv,0.633,1,5,5:opencv,-6.889,56.351,,,232
91,0.9708,509.5,1223.5,0.225857,opencv,0.6,1,5,5:opencv,-6.889,59.513,,,233
92,0.975,509.5,1238.5,0.225857,opencv,0.567,1,5,5:opencv,-6.889,62.901,,,234
93,0.9792,508.5,1251.5,0.225857,opencv,0.533,1,5,5:opencv,-7.114,65.837,,,235
94,0.9833,508.35,1260.2,0.224991,apriltag,1.0,1,5,5:apriltag,-6.984,66.466,321.092,0.0,236
95,0.9875,507.64,1262.19,0.221294,apriltag,1.0,1,5,5:apriltag,-7.148,66.858,320.671,0.0,237
96,0.9917,507.96,1262.45,0.222857,apriltag,1.0,1,5,5:apriltag,-7.169,67.596,323.894,0.0,238
97,0.9958,509.67,1262.5,0.220398,apriltag,1.0,1,5,5:apriltag,-6.718,66.794,320.288,0.0,239
98,1.0,510.66,1259.67,0.224576,apriltag,1.0,1,5,5:apriltag,-6.47,65.829,318.704,0.0,240
99,1.0042,510.09,1253.95,0.225639,apriltag,1.0,1,5,5:apriltag,-6.406,62.874,310.213,0.0,241
100,1.0083,509.34,1246.98,0.223634,apriltag,1.0,1,5,5:apriltag,-6.52,60.865,307.529,0.0,242
101,1.0125,507.5,1237.0,0.223634,opencv,0.967,1,5,5:opencv,-7.268,61.947,,,243
102,1.0167,508.5,1224.0,0.223634,opencv,0.933,1,5,5:opencv,-7.044,59.039,,,244
103,1.0208,508.5,1210.0,0.223634,opencv,0.9,1,5,5:opencv,-7.044,55.909,,,245
104,1.025,510.5,1195.0,0.223634,opencv,0.867,1,5,5:opencv,-6.597,52.554,,,246
105,1.0292,511.5,1181.0,0.223634,opencv,0.833,1,5,5:opencv,-6.374,49.423,,,247
106,1.0333,511.5,1166.0,0.223634,opencv,0.8,1,5,5:opencv,-6.374,46.069,,,248
107,1.0375,511.5,1152.0,0.223634,opencv,0.767,1,5,5:opencv,-6.374,42.938,,,249
108,1.0417,510.5,1138.0,0.223634,opencv,0.733,1,5,5:opencv,-6.597,39.807,,,250
109,1.0458,510.5,1123.0,0.223634,opencv,0.7,1,5,5:opencv,-6.597,36.452,,,251
110,1.05,511.5,1109.0,0.223634,opencv,0.667,1,5,5:opencv,-6.374,33.321,,,252
111,1.0542,512.5,1094.0,0.223634,opencv,0.633,1,5,5:opencv,-6.15,29.967,,,253
112,1.0583,513.5,1079.0,0.223634,opencv,0.6,1,5,5:opencv,-5.926,26.612,,,254
113,1.0625,513.5,1065.0,0.223634,opencv,0.567,1,5,5:opencv,-5.926,23.482,,,255
114,1.0667,514.4,1052.77,0.228583,apriltag,1.0,1,5,5:apriltag,-5.587,20.166,315.086,0.0,256
115,1.0708,514.18,1045.16,0.227216,apriltag,1.0,1,5,5:apriltag,-5.709,18.799,320.097,0.0,257
116,1.075,515.09,1041.97,0.225738,apriltag,1.0,1,5,5:apriltag,-5.584,18.303,323.988,0.0,258
117,1.0792,515.64,1040.35,0.225356,apriltag,1.0,1,5,5:apriltag,-5.447,17.928,323.321,0.0,259
118,1.0833,514.68,1040.19,0.227744,apriltag,1.0,1,5,5:apriltag,-5.731,18.062,326.301,0.0,260
119,1.0875,513.54,1041.76,0.225157,apriltag,1.0,1,5,5:apriltag,-5.937,18.388,325.446,0.0,261
120,1.0917,512.85,1045.02,0.227792,apriltag,1.0,1,5,5:apriltag,-5.985,18.737,319.551,0.0,262
