frame,time_s,raw_x,raw_y,mm_per_pixel,tracking_source,tracking_confidence,tags_tracked,tag_ids,tag_sources,pose_x,pose_y,pose_z,pose_err,video_frame
13,0.6058,561.4,1148.45,0.121018,apriltag,1.0,1,5,5:apriltag,2.554,22.626,174.235,0.0,453
14,0.6418,560.54,1154.58,0.120091,apriltag,1.0,1,5,5:apriltag,2.467,23.366,174.127,0.0,454
15,0.6767,559.5,1151.71,0.120845,apriltag,1.0,1,5,5:apriltag,2.363,23.033,174.185,0.0,455
16,0.7123,560.2,1144.96,0.121105,apriltag,1.0,1,5,5:apriltag,2.428,22.222,174.288,0.0,456
17,0.7472,560.12,1132.02,0.120829,apriltag,1.0,1,5,5:apriltag,2.438,20.688,174.352,0.0,457
18,0.8367,559.5,1114.5,0.120829,opencv,0.967,1,5,5:opencv,,,,,458
19,0.9309,557.5,1092.5,0.120829,opencv,0.933,1,5,5:opencv,,,,,459
20,1.0238,555.5,1068.5,0.120829,opencv,0.9,1,5,5:opencv,,,,,460
21,1.1145,555.5,1043.5,0.120829,opencv,0.867,1,5,5:opencv,,,,,461
22,1.2098,555.5,1018.5,0.120829,opencv,0.833,1,5,5:opencv,,,,,462
23,1.3004,555.5,993.5,0.120829,opencv,0.8,1,5,5:opencv,,,,,463
24,1.3934,553.5,967.5,0.120829,opencv,0.767,1,5,5:opencv,,,,,464
25,1.4884,551.5,941.5,0.120829,opencv,0.733,1,5,5:opencv,,,,,465
26,1.5803,550.5,915.5,0.120829,opencv,0.7,1,5,5:opencv,,,,,466
27,1.6709,550.5,889.5,0.120829,opencv,0.667,1,5,5:opencv,,,,,467
28,1.7647,550.5,863.5,0.120829,opencv,0.633,1,5,5:opencv,,,,,468
29,1.8552,548.5,838.5,0.120829,opencv,0.6,1,5,5:opencv,,,,,469
30,1.9443,546.5,812.5,0.120829,opencv,0.567,1,5,5:opencv,,,,,470
31,2.0375,544.5,787.5,0.120829,opencv,0.533,1,5,5:opencv,,,,,471
32,2.129,544.5,761.5,0.120829,opencv,0.5,1,5,5:opencv,,,,,472
33,2.2163,543.5,735.5,0.120829,opencv,0.467,1,5,5:opencv,,,,,473
34,2.3098,542.5,709.5,0.120829,opencv,0.433,1,5,5:opencv,,,,,474
35,2.3997,541.5,683.5,0.120829,opencv,0.4,1,5,5:opencv,,,,,475
36,2.4895,539.5,658.5,0.120829,opencv,0.367,1,5,5:opencv,,,,,476
37,2.5811,538.5,632.5,0.120829,opencv,0.333,1,5,5:opencv,,,,,477
38,2.6691,538.5,605.5,0.120829,opencv,0.3,1,5,5:opencv,,,,,478
39,2.7562,537.5,578.5,0.120829,opencv,0.267,1,5,5:opencv,,,,,479
40,2.8467,537.5,552.5,0.120829,opencv,0.233,1,5,5:opencv,,,,,480
41,2.9331,535.5,526.5,0.120829,opencv,0.2,1,5,5:opencv,,,,,481
42,3.0195,534.5,500.5,0.120829,opencv,0.167,1,5,5:opencv,,,,,482
43,3.1069,532.5,477.5,0.120829,opencv,0.133,1,5,5:opencv,,,,,483
44,3.1426,534.12,469.95,0.118603,apriltag,1.0,1,5,5:apriltag,-0.666,-57.99,171.647,0.0,484
45,3.1782,535.21,470.63,0.119712,apriltag,1.0,1,5,5:apriltag,-0.552,-58.375,173.004,0.0,485
46,3.2133,535.0,472.76,0.118894,apriltag,1.0,1,5,5:apriltag,-0.647,-57.697,171.897,0.0,486
