frame,time_s,position_mm,raw_x,raw_y,points_tracked
0,0.0,277.62098599470517,550,976,2
1,0.033362131029517635,280.7895639291642,556,975,2
2,0.06672426205903527,283.9561871579265,562,975,2
3,0.10008639308855291,287.1189009752953,568,977,2
4,0.13344852411807054,290.2874789097543,574,976,2
5,0.1668106551475882,293.4541021385166,580,976,2
6,0.20017278617710582,296.6207253672789,586,976,2
7,0.23353491720662345,299.7873485960412,592,976,2
8,0.2668970482361411,302.9520171191067,598,977,2
9,0.30025917926565876,306.11864034786896,604,977,2
10,0.3336213102951764,309.28330887093455,610,978,2
11,0.366983441324694,312.97965734352067,617,977,2
12,0.40034557235421164,316.14628057228293,623,977,2
13,0.43370770338372927,319.31094909534846,629,978,2
14,0.4670698344132469,322.4775723241108,635,978,2
15,0.5004319654427646,324.0608839384919,638,978,2
16,0.5337940964722822,323.5311586946681,637,979,2
17,0.5671562275017998,323.003388156541,636,979,2
18,0.6005183585313175,321.42203124785664,633,978,2
19,0.6338804895608351,319.31290380104525,629,977,2
20,0.6672426205903528,316.67405111040995,624,977,2
21,0.7006047516198703,313.5074278816477,618,977,2
22,0.733966882649388,310.3408046528854,612,977,2
23,0.7673290136789056,307.17418142412316,606,977,2
24,0.8006911447084233,304.0095129010576,600,976,2
25,0.834053275737941,300.8448443779921,594,975,2
26,0.8674154067674585,297.6782211492298,588,975,2
27,0.9007775377969762,294.51159792046747,582,975,2
28,0.9341396688264938,291.3449746917052,576,975,2
29,0.9675017998560115,287.6525356305126,569,974,2
30,1.0008639308855292,296.5992236046145,586,987,2
31,1.0342260619150467,293.96037091397926,581,987,2
32,1.0675881929445643,290.79374768521694,575,987,2
33,1.100950323974082,287.09935391832767,568,987,2
34,1.1343124550035997,283.42059779701236,561,979,2
35,1.1676745860331172,280.25397456825004,555,979,2
36,1.201036717062635,276.55958080136077,548,979,2
37,1.2343988480921526,273.3949122782952,542,978,2
38,1.2677609791216702,269.7005185114059,535,978,2
39,1.3011231101511878,266.5319405769468,529,979,2
40,1.3344852411807056,262.83754681005746,522,979,2
41,1.3678473722102231,259.6709235812952,516,979,2
42,1.4012095032397407,256.5043003525329,510,979,2
43,1.4345716342692585,253.33572241807383,504,980,2
44,1.467933765298776,250.1690991893115,498,980,2
45,1.5012958963282936,246.47470542242218,491,980,2
46,1.5346580273578112,243.30808219365989,485,980,2
47,1.568020158387329,249.6335098283974,497,984,2
48,1.6013822894168466,246.99465713776218,492,984,2
49,1.6347444204463641,243.82803390899986,486,984,2
50,1.668106551475882,240.13364014211052,479,984,2
51,1.7014686825053995,236.9650622076515,473,985,2
52,1.734830813534917,233.27066844076214,466,985,2
53,1.7681929445644349,230.10404521199985,460,985,2
54,1.8015550755939524,226.93742198323756,454,985,2
55,1.83491720662347,224.2985692926023,449,985,2
56,1.8682793376529876,224.2985692926023,449,985,2
57,1.9016414686825054,225.3697480144305,451,977,2
58,1.935003599712023,226.43701732486525,453,971,2
59,1.9683657307415405,228.54614477167667,457,972,2
60,2.0017278617710583,230.64549869000425,461,978,2
61,2.0350899928005757,233.79648427319242,467,986,2
62,2.0684521238300935,236.9631075019547,473,986,2
63,2.1018142548596113,239.60000548689317,478,987,2
64,2.1351763858891286,243.29439925378253,485,987,2
65,2.1685385169186464,246.4610224825448,491,987,2
66,2.201900647948164,249.6276457113071,497,987,2
67,2.2352627789776816,252.7942689400694,503,987,2
68,2.2686249100071993,255.9589374631349,509,988,2
69,2.301987041036717,237.51042509704942,474,976,2
70,2.3353491720662345,240.15123249338143,479,975,2
71,2.3687113030957523,243.8456262602708,486,975,2
72,2.40207343412527,246.4864336566028,491,974,2
73,2.4354355651547874,249.6530568853651,497,974,2
74,2.4687976961843052,252.28995487030357,502,975,2
75,2.5021598272138226,256.5121191753199,510,975,2
76,2.5355219582433404,259.67874240408224,516,975,2
77,2.568884089272858,262.84536563284456,522,975,2
78,2.6022462203023755,266.5397593997339,529,975,2
79,2.6356083513318933,258.09543078970114,513,975,2
80,2.668970482361411,260.73428348033633,518,975,2
81,2.7023326133909285,262.3175950947175,521,975,2
82,2.7356947444204462,253.86935707329116,505,977,2
83,2.769056875449964,252.28604545891002,502,977,2
84,2.8024190064794814,253.86935707329116,505,977,2
85,2.835781137508999,264.95644778535274,526,975,2
86,2.869143268538517,268.65084155224207,533,975,2
87,2.9025053995680343,270.7619237047503,537,975,2
88,2.935867530597552,273.92854693351256,543,975,2
89,2.96922966162707,274.9821333040699,545,976,2
90,3.0025917926565873,276.037674380324,547,976,2
91,3.035953923686105,277.62098599470517,550,976,2
92,3.0693160547156224,279.20429760908627,553,976,2
93,3.10267818574514,279.20429760908627,553,976,2
94,3.136040316774658,281.8431502997215,558,976,2
95,3.1694024478041753,285.0097735284838,564,976,2
96,3.202764578833693,286.593085142865,567,976,2
97,3.236126709863211,287.12085568099207,568,976,2
98,3.2694888408927283,286.593085142865,567,976,2
99,3.302850971922246,286.065314604738,566,976,2
100,3.336213102951764,283.9542324522297,562,976,2
101,3.3695752339812812,282.3728755435454,559,975,2
102,3.402937365010799,279.73402285291013,554,975,2
103,3.436299496040317,279.73402285291013,554,975,2
104,3.469661627069834,278.15071123852897,551,975,2
105,3.503023758099352,276.5654449184511,548,976,2
106,3.5363858891288698,276.0396290860208,547,975,2
107,3.569748020158387,274.45827217733637,544,974,2
108,3.603110151187905,272.3471900248282,540,974,2
109,3.6364722822174222,269.18056679606593,534,974,2
110,3.66983441324694,266.54171410543063,529,974,2
111,3.703196544276458,262.3195498004143,521,974,2
112,3.736558675305975,253.87131177898794,505,976,2
113,3.769920806335493,253.3435412408609,504,976,2
114,3.8032829373650108,251.23245908835267,500,976,2
115,3.836645068394528,248.59360639771745,495,976,2
116,3.870007199424046,257.56961495727086,512,974,2
117,3.9033693304535637,255.45853280476263,508,974,2
118,3.936731461483081,262.84732033854135,522,974,2
119,3.970093592512599,271.8096459582173,539,979,2
120,4.003455723542117,268.643022729455,533,979,2
