frame,time_s,position_mm,raw_x,raw_y,points_tracked
0,0.0,278.56771189429213,640,977,1
1,0.03338003573749188,278.56771189429213,640,977,1
2,0.06676007147498376,278.0139115790686,639,978,1
3,0.10014010721247564,278.0139115790686,639,978,1
4,0.13352014294996753,278.0272438088795,639,977,1
5,0.1669001786874594,278.0272438088795,639,977,1
6,0.20028021442495128,278.0272438088795,639,977,1
7,0.23366025016244316,278.0272438088795,639,977,1
8,0.26704028589993506,278.0272438088795,639,977,1
9,0.30042032163742693,278.0272438088795,639,977,1
10,0.3338003573749188,277.4867757234669,638,977,1
11,0.3671803931124107,277.4867757234669,638,977,1
12,0.40056042884990256,277.4867757234669,638,977,1
13,0.43394046458739444,277.4867757234669,638,977,1
14,0.4673205003248863,277.4867757234669,638,977,1
15,0.5007005360623782,277.4867757234669,638,977,1
16,0.5340805717998701,277.4867757234669,638,977,1
17,0.5674606075373619,277.4867757234669,638,977,1
18,0.6008406432748539,277.4867757234669,638,977,1
19,0.6342206790123457,277.4867757234669,638,977,1
20,0.6676007147498376,276.94630763805424,637,977,1
21,0.7009807504873294,276.9329754082433,637,978,1
22,0.7343607862248214,276.94630763805424,637,977,1
23,0.7677408219623132,276.94630763805424,637,977,1
24,0.8011208576998051,276.94630763805424,637,977,1
25,0.8345008934372969,276.94630763805424,637,977,1
26,0.8678809291747889,276.94630763805424,637,977,1
27,0.9012609649122807,276.94630763805424,637,977,1
28,0.9346410006497726,276.4058395526416,636,977,1
29,0.9680210363872644,276.4058395526416,636,977,1
30,1.0014010721247564,276.4058395526416,636,977,1
31,1.0347811078622482,276.4058395526416,636,977,1
32,1.0681611435997402,276.4058395526416,636,977,1
33,1.101541179337232,276.4058395526416,636,977,1
34,1.1349212150747239,276.4058395526416,636,977,1
35,1.1683012508122157,276.4058395526416,636,977,1
36,1.2016812865497077,276.4058395526416,636,977,1
37,1.2350613222871996,276.4058395526416,636,977,1
38,1.2684413580246914,276.4058395526416,636,977,1
39,1.3018213937621832,275.865371467229,635,977,1
40,1.3352014294996752,275.865371467229,635,977,1
41,1.368581465237167,275.865371467229,635,977,1
42,1.4019615009746589,275.865371467229,635,977,1
43,1.4353415367121507,275.865371467229,635,977,1
44,1.4687215724496427,275.31157115200546,634,978,1
45,1.5021016081871346,275.32490338181634,634,977,1
46,1.5354816439246264,275.32490338181634,634,977,1
47,1.5688616796621182,275.32490338181634,634,977,1
48,1.6022417153996102,275.32490338181634,634,977,1
49,1.635621751137102,275.32490338181634,634,977,1
50,1.6690017868745939,275.32490338181634,634,977,1
51,1.702381822612086,275.32490338181634,634,977,1
52,1.7357618583495777,275.32490338181634,634,977,1
53,1.7691418940870696,275.32490338181634,634,977,1
54,1.8025219298245614,274.78443529640373,633,977,1
55,1.8359019655620534,274.7711030665928,633,978,1
56,1.8692820012995452,274.78443529640373,633,977,1
57,1.902662037037037,274.78443529640373,633,977,1
58,1.9360420727745289,274.78443529640373,633,977,1
59,1.969422108512021,274.78443529640373,633,977,1
60,2.0028021442495128,274.24396721099106,632,977,1
61,2.0361821799870046,274.24396721099106,632,977,1
62,2.0695622157244964,274.24396721099106,632,977,1
63,2.102942251461988,274.24396721099106,632,977,1
64,2.1363222871994805,274.24396721099106,632,977,1
65,2.1697023229369723,274.24396721099106,632,977,1
66,2.203082358674464,274.24396721099106,632,977,1
67,2.236462394411956,274.24396721099106,632,977,1
68,2.2698424301494478,274.25729944080206,632,976,1
69,2.3032224658869396,273.70349912557845,631,977,1
70,2.3366025016244314,273.70349912557845,631,977,1
71,2.369982537361923,273.70349912557845,631,977,1
72,2.4033625730994155,273.70349912557845,631,977,1
73,2.4367426088369073,273.70349912557845,631,977,1
74,2.470122644574399,273.70349912557845,631,977,1
75,2.503502680311891,273.16303104016583,630,977,1
76,2.5368827160493828,273.16303104016583,630,977,1
77,2.5702627517868746,273.16303104016583,630,977,1
78,2.6036427875243664,273.1763632699768,630,976,1
79,2.6370228232618587,273.1763632699768,630,976,1
80,2.6704028589993505,273.1763632699768,630,976,1
81,2.7037828947368423,273.1763632699768,630,976,1
82,2.737162930474334,273.1763632699768,630,976,1
83,2.770542966211826,273.1763632699768,630,976,1
84,2.8039230019493178,272.63589518456416,629,976,1
85,2.8373030376868096,272.63589518456416,629,976,1
86,2.8706830734243014,272.63589518456416,629,976,1
87,2.9040631091617937,272.63589518456416,629,976,1
88,2.9374431448992855,272.63589518456416,629,976,1
89,2.9708231806367773,272.63589518456416,629,976,1
90,3.004203216374269,272.63589518456416,629,976,1
91,3.037583252111761,272.0954270991515,628,976,1
92,3.0709632878492528,272.0954270991515,628,976,1
93,3.1043433235867446,272.0954270991515,628,976,1
94,3.1377233593242364,272.0954270991515,628,976,1
95,3.1711033950617287,272.0954270991515,628,976,1
96,3.2044834307992205,272.0954270991515,628,976,1
97,3.2378634665367123,272.0954270991515,628,976,1
98,3.271243502274204,271.5549590137389,627,976,1
99,3.304623538011696,271.5549590137389,627,976,1
100,3.3380035737491878,271.5549590137389,627,976,1
101,3.3713836094866796,271.5549590137389,627,976,1
102,3.404763645224172,271.5549590137389,627,976,1
103,3.4381436809616637,271.5549590137389,627,976,1
104,3.4715237166991555,271.0144909283262,626,976,1
105,3.5049037524366473,271.0144909283262,626,976,1
106,3.538283788174139,271.0144909283262,626,976,1
107,3.571663823911631,271.0144909283262,626,976,1
108,3.6050438596491228,271.0144909283262,626,976,1
109,3.6384238953866146,271.0144909283262,626,976,1
110,3.671803931124107,271.0144909283262,626,976,1
