frame,time_s,position_mm,raw_x,raw_y
0,0.0,302.1289885793042,539,1043
1,0.03340517241379311,301.7247104527174,539,1042
2,0.06681034482758622,301.7247104527174,539,1042
3,0.10021551724137931,302.1289885793042,539,1043
4,0.13362068965517243,302.93754483247767,539,1045
5,0.16702586206896552,304.9440047391455,540,1050
6,0.20043103448275862,307.36967349866615,540,1056
7,0.23383620689655174,310.1996203847735,540,1063
8,0.26724137931034486,313.04449799714683,539,1070
9,0.30064655172413796,316.27872300984103,539,1078
10,0.33405172413793105,319.52787874880113,538,1086
11,0.36745689655172414,322.7471730352293,539,1094
12,0.40086206896551724,325.9963287741894,538,1102
13,0.4342672413793104,329.24548451314956,537,1110
14,0.4676724137931035,332.47970952584365,537,1118
15,0.5010775862068966,335.71393453853784,537,1126
16,0.5344827586206897,338.9481595512319,537,1134
17,0.5678879310344828,342.58666269051287,537,1143
18,0.6012931034482759,345.820887703207,537,1151
19,0.634698275862069,349.0700434421671,536,1159
20,0.6681034482758621,351.91492105454046,535,1166
21,0.7015086206896552,355.13421534096864,536,1174
22,0.7349137931034483,358.78764920651554,535,1183
23,0.7683189655172414,362.0218742192097,535,1191
24,0.8017241379310345,365.27102995816983,534,1199
25,0.8351293103448276,368.505254970864,534,1207
26,0.8685344827586208,371.7394799835581,534,1215
27,0.9019396551724138,373.7608706164919,534,1220
28,0.935344827586207,374.18007946934466,533,1221
29,0.9687500000000001,374.18007946934466,533,1221
30,1.0021551724137931,373.7758013427579,533,1220
31,1.0355603448275863,372.5480362367316,534,1217
32,1.0689655172413794,370.93092373038456,534,1213
33,1.1023706896551724,368.52018569713,533,1207
34,1.1357758620689655,365.6902388110226,533,1200
35,1.1691810344827587,362.05173567174165,533,1191
36,1.2025862068965518,358.78764920651554,535,1183
37,1.235991379310345,355.5534241938214,535,1175
38,1.269396551724138,352.31919918112726,535,1167
39,1.302801724137931,349.0849741684331,535,1159
40,1.3362068965517242,345.83581842947297,536,1151
41,1.3696120689655173,342.58666269051287,537,1143
42,1.4030172413793105,338.9481595512319,537,1134
43,1.4364224137931034,335.71393453853784,537,1126
44,1.4698275862068966,332.47970952584365,537,1118
45,1.5032327586206897,328.84120638656276,537,1109
46,1.5366379310344829,325.59205064760266,538,1101
47,1.570043103448276,322.3578256349085,538,1093
48,1.603448275862069,318.7193224956276,538,1084
49,1.636853448275862,315.48509748293344,538,1076
50,1.6702586206896552,312.23594174397334,539,1068
51,1.7036637931034484,309.00171673127915,539,1060
52,1.7370689655172415,305.76749171858506,539,1052
53,1.7704741379310345,302.93754483247767,539,1045
54,1.8038793103448276,302.1289885793042,539,1043
55,1.8372844827586208,302.1289885793042,539,1043
56,1.870689655172414,302.1289885793042,539,1043
57,1.904094827586207,302.53326670589087,539,1044
58,1.9375000000000002,303.74610108565116,539,1047
59,1.9709051724137931,305.75256099231905,540,1052
60,2.0043103448275863,308.17822975183964,540,1058
61,2.0377155172413794,311.4124547645338,540,1066
62,2.0711206896551726,314.25733237690713,539,1073
63,2.1045258620689657,317.4915573896013,539,1081
64,2.137931034482759,320.7257824022954,539,1089
65,2.171336206896552,323.97493814125556,538,1097
66,2.2047413793103448,327.2091631539497,538,1105
67,2.238146551724138,330.45831889290986,537,1113
68,2.271551724137931,333.69254390560394,537,1121
69,2.304956896551724,336.92676891829814,537,1129
70,2.3383620689655173,340.1609939309922,537,1137
71,2.3717672413793105,343.79949707027316,537,1146
72,2.4051724137931036,347.0486528092333,536,1154
73,2.438577586206897,350.28287782192746,536,1162
74,2.47198275862069,353.5171028346216,536,1170
75,2.505387931034483,356.75132784731574,536,1178
76,2.538793103448276,360.00048358627583,535,1186
77,2.572198275862069,363.249639325236,534,1194
78,2.605603448275862,366.48386433793013,534,1202
79,2.6390086206896552,369.71808935062427,534,1210
80,2.6724137931034484,371.75441070982407,533,1215
81,2.7058189655172415,372.1586888364109,533,1216
82,2.7392241379310347,372.1586888364109,533,1216
83,2.772629310344828,371.75441070982407,533,1215
84,2.806034482758621,370.52664560379776,534,1212
85,2.839439655172414,368.9095330974507,534,1208
86,2.872844827586207,366.8881424645169,534,1203
87,2.90625,364.0731263046755,533,1196
88,2.939655172413793,360.82397056571534,534,1188
89,2.9730603448275863,357.57481482675524,535,1180
90,3.0064655172413794,354.3405898140611,535,1172
91,3.0398706896551726,351.09143407510095,536,1164
92,3.0732758620689657,347.4678616620861,535,1155
93,3.106681034482759,344.2187059231259,536,1147
94,3.140086206896552,340.9695501841658,537,1139
95,3.173491379310345,337.72039444520567,538,1131
96,3.206896551724138,334.09682203219074,537,1122
97,3.240301724137931,330.8625970194966,537,1114
98,3.273706896551724,327.22409388021566,537,1105
99,3.3071120689655173,323.97493814125556,538,1097
100,3.3405172413793105,320.7407131285614,538,1089
101,3.3739224137931036,317.4915573896013,539,1081
102,3.407327586206897,313.8679849765864,538,1072
103,3.44073275862069,310.61882923762624,539,1064
104,3.474137931034483,307.3846042249321,539,1056
105,3.5075431034482762,304.15037921223797,539,1048
106,3.540948275862069,302.53326670589087,539,1044
107,3.574353448275862,302.1289885793042,539,1043
108,3.6077586206896552,302.1289885793042,539,1043
109,3.6411637931034484,302.1289885793042,539,1043
110,3.6745689655172415,302.93754483247767,539,1045
111,3.7079741379310347,304.15037921223797,539,1048
112,3.741379310344828,306.5611172454926,540,1054
