frame,time_s,position_mm,raw_x,raw_y
0,0.0,-14.175750893603402,537,1105
1,0.03340548780487805,-17.378852275354333,537,1113
2,0.0668109756097561,-20.581953657105263,537,1121
3,0.10021646341463414,-24.185442711575057,537,1130
4,0.1336219512195122,-27.388544093325986,537,1138
5,0.16702743902439024,-30.59164547507692,537,1146
6,0.20043292682926828,-33.80826205253144,536,1154
7,0.23383841463414634,-37.011363434282366,536,1162
8,0.2672439024390244,-40.2144648160333,536,1170
9,0.3006493902439024,-43.431081393487815,535,1178
10,0.3340548780487805,-46.63418277523875,535,1186
11,0.36746036585365854,-49.850799352693265,534,1194
12,0.40086585365853655,-53.053900734444184,534,1202
13,0.4342713414634146,-56.25700211619512,534,1210
14,0.4676768292682927,-59.860491170664915,534,1219
15,0.5010823170731707,-63.06359255241585,534,1227
16,0.5344878048780488,-66.26669393416677,534,1235
17,0.5678932926829268,-69.4833105116213,533,1243
18,0.6012987804878048,-72.28602422065336,533,1250
19,0.6347042682926829,-73.50070243451354,532,1253
20,0.668109756097561,-73.11382995749827,531,1252
21,0.701515243902439,-72.29953941635695,532,1250
22,0.7349207317073171,-71.08486120249675,533,1247
23,0.7683262195121952,-69.08292283890243,533,1242
24,0.8017317073170731,-66.68059680258924,533,1236
25,0.8351371951219512,-63.891398289260756,532,1229
26,0.8685426829268292,-60.68829690750982,532,1221
27,0.9019481707317073,-57.07129265733645,533,1212
28,0.9353536585365854,-53.841160884178336,535,1204
29,0.9687591463414634,-50.63805950242741,535,1196
30,1.0021646341463415,-47.0480856436612,534,1187
31,1.0355701219512194,-43.84498426191028,534,1179
32,1.0689756097560976,-40.62836768445575,535,1171
33,1.1023810975609756,-37.41175110700123,536,1163
34,1.1357865853658535,-33.80826205253144,536,1154
35,1.1691920731707317,-30.60516067078051,536,1146
36,1.2025975609756097,-27.402059289029577,536,1138
37,1.2360030487804878,-23.785055038856193,537,1129
38,1.2694085365853658,-20.56843846140167,538,1121
39,1.302814024390244,-17.36533707965074,538,1113
40,1.336219512195122,-14.175750893603402,537,1105
41,1.3696249999999999,-10.572261839133606,537,1096
42,1.403030487804878,-7.355645261679086,538,1088
43,1.436435975609756,-4.152543879928157,538,1080
44,1.4698414634146342,-0.5355396297547703,539,1071
45,1.5032469512195121,2.667561751996159,539,1063
46,1.5366524390243903,5.870663133747089,539,1055
47,1.5700579268292683,9.087279711201608,540,1047
48,1.6034634146341462,12.290381092952536,540,1039
49,1.6368689024390244,15.907385343125924,541,1030
50,1.6702743902439023,19.110486724876854,541,1022
51,1.7036798780487805,21.91320043390892,541,1015
52,1.7370853658536585,23.11436345206552,541,1012
53,1.7704908536585366,23.11436345206552,541,1012
54,1.8038963414634146,22.71397577934665,541,1013
55,1.8373018292682926,21.51281276119005,541,1016
56,1.8707073170731707,19.897746874610995,540,1020
57,1.9041128048780487,17.108548361282523,541,1027
58,1.9375182926829269,14.30583465225046,541,1034
59,1.9709237804878048,11.503120943218397,541,1041
60,2.004329268292683,8.286504365763875,540,1049
61,2.037734756097561,5.083402984012947,540,1057
62,2.071140243902439,1.8803016022620171,540,1065
63,2.104545731707317,-1.3363149751925025,539,1073
64,2.1379512195121952,-4.539416356943432,539,1081
65,2.171356707317073,-7.742517738694362,539,1089
66,2.204762195121951,-10.959134316148882,538,1097
67,2.238167682926829,-14.175750893603402,537,1105
68,2.271573170731707,-17.378852275354333,537,1113
69,2.3049786585365855,-20.581953657105263,537,1121
70,2.3383841463414634,-24.185442711575057,537,1130
71,2.3717896341463414,-27.388544093325986,537,1138
72,2.4051951219512193,-30.60516067078051,536,1146
73,2.4386006097560977,-33.80826205253144,536,1154
74,2.4720060975609757,-37.011363434282366,536,1162
75,2.5054115853658536,-40.2144648160333,536,1170
76,2.5388170731707316,-43.417566197784225,536,1178
77,2.5722225609756095,-46.63418277523875,535,1186
78,2.605628048780488,-49.850799352693265,534,1194
79,2.639033536585366,-53.053900734444184,534,1202
80,2.672439024390244,-56.65738978891398,534,1211
81,2.705844512195122,-59.860491170664915,534,1219
82,2.7392499999999997,-63.07710774811944,533,1227
83,2.772655487804878,-66.28020912987036,533,1235
84,2.806060975609756,-69.88369818434016,533,1244
85,2.839466463414634,-72.68641189337222,533,1251
86,2.872871951219512,-73.50070243451354,532,1253
87,2.9062774390243904,-73.11382995749827,531,1252
88,2.9396829268292684,-72.69992708907581,532,1251
89,2.9730884146341463,-71.08486120249675,533,1247
90,3.0064939024390243,-69.08292283890243,533,1242
91,3.039899390243902,-66.68059680258924,533,1236
92,3.0733048780487806,-63.891398289260756,532,1229
93,3.1067103658536586,-60.68829690750982,532,1221
94,3.1401158536585365,-57.471680330055314,533,1213
95,3.1735213414634145,-53.854676079881926,534,1204
96,3.2069268292682924,-50.651574698131,534,1196
97,3.240332317073171,-47.448473316380074,534,1188
98,3.2737378048780488,-43.84498426191028,534,1179
99,3.3071432926829267,-40.62836768445575,535,1171
100,3.3405487804878047,-37.41175110700123,536,1163
101,3.373954268292683,-34.208649725250304,536,1155
102,3.407359756097561,-30.60516067078051,536,1146
103,3.440765243902439,-27.402059289029577,536,1138
104,3.474170731707317,-24.185442711575057,537,1130
105,3.507576219512195,-20.581953657105263,537,1121
106,3.5409817073170733,-17.36533707965074,538,1113
107,3.5743871951219512,-14.175750893603402,537,1105
108,3.607792682926829,-10.572261839133606,537,1096
109,3.641198170731707,-7.355645261679086,538,1088
110,3.674603658536585,-4.139028684224566,539,1080
111,3.7080091463414635,-0.9359273024736364,539,1072
112,3.7414146341463415,2.267174079277293,539,1064
113,3.7748201219512194,5.870663133747089,539,1055
114,3.8082256097560974,9.073764515498018,539,1047
115,3.8416310975609753,12.290381092952536,540,1039
116,3.8750365853658537,15.506997670407062,541,1031
117,3.9084420731707317,19.110486724876854,541,1022
118,3.9418475609756096,21.91320043390892,541,1015
119,3.9752530487804876,23.514751124784382,541,1011
120,4.008658536585366,23.11436345206552,541,1012
121,4.0420640243902435,22.71397577934665,541,1013
122,4.075469512195122,21.91320043390892,541,1015
123,4.108875,19.897746874610995,540,1020
124,4.142280487804878,17.50893603400139,541,1026
125,4.175685975609756,14.706222324969328,541,1033
126,4.209091463414634,11.903508615937263,541,1040
127,4.242496951219512,8.700407234186333,541,1048
128,4.2759024390243905,5.483790656731813,540,1056
129,4.309307926829268,2.2806892749808836,540,1064
130,4.342713414634146,-0.9224121067700461,540,1072
131,4.376118902439024,-4.139028684224566,539,1080
132,4.409524390243902,-7.342130065975495,539,1088
133,4.442929878048781,-10.558746643430016,538,1096
134,4.476335365853658,-13.775363220884536,537,1104
135,4.509740853658537,-16.978464602635466,537,1112
