frame,time_s,position_mm,raw_x,raw_y
0,0.0,-16.078984485190407,518,1147
1,0.03339862169024302,-18.89280677009873,518,1154
2,0.06679724338048604,-21.706629055007053,517,1161
3,0.10019586507072906,-24.520451339915372,517,1168
4,0.13359448676097208,-27.334273624823695,517,1175
5,0.1669931084512151,-30.148095909732017,517,1182
6,0.2003917301414581,-32.96191819464034,517,1189
7,0.23379035183170113,-35.77574047954866,517,1196
8,0.26718897352194415,-38.58956276445698,517,1203
9,0.30058759521218714,-41.80535966149506,518,1211
10,0.3339862169024302,-44.217207334273624,517,1217
11,0.3673848385926732,-47.03102961918194,517,1224
12,0.4007834602829162,-49.84485190409027,517,1231
13,0.4341820819731592,-52.65867418899859,517,1238
14,0.46758070366340226,-55.07052186177715,517,1244
15,0.5009793253536453,-57.88434414668547,516,1251
16,0.5343779470438883,-60.296191819464035,517,1257
17,0.5677765687341313,-63.110014104372354,517,1264
18,0.6011751904243743,-65.11988716502115,517,1269
19,0.6345738121146174,-67.53173483779972,517,1275
20,0.6679724338048604,-69.54160789844852,517,1280
21,0.7013710554951034,-71.95345557122708,516,1286
22,0.7347696771853464,-73.56135401974612,516,1290
23,0.7681682988755895,-75.57122708039492,516,1295
24,0.8015669205658325,-77.17912552891396,516,1299
25,0.8349655422560754,-78.787023977433,517,1303
26,0.8683641639463184,-80.39492242595205,516,1307
27,0.9017627856365615,-81.60084626234132,516,1310
28,0.9351614073268045,-82.80677009873061,516,1313
29,0.9685600290170475,-84.01269393511988,516,1316
30,1.0019586507072906,-84.81664315937941,516,1318
31,1.0353572723975335,-85.62059238363892,516,1320
32,1.0687558940877766,-86.42454160789845,516,1322
33,1.1021545157780197,-86.82651622002821,516,1323
34,1.1355531374682626,-87.22849083215796,516,1324
35,1.1689517591585057,-87.63046544428772,515,1325
36,1.2023503808487486,-87.63046544428772,515,1325
37,1.2357490025389917,-88.03244005641749,515,1326
38,1.2691476242292348,-88.03244005641749,515,1326
39,1.3025462459194777,-88.03244005641749,515,1326
40,1.3359448676097208,-88.03244005641749,516,1326
41,1.3693434892999636,-88.03244005641749,516,1326
42,1.4027421109902067,-87.63046544428772,516,1325
43,1.4361407326804498,-87.22849083215796,516,1324
44,1.4695393543706927,-86.82651622002821,516,1323
45,1.5029379760609358,-86.02256699576868,516,1321
46,1.536336597751179,-85.21861777150916,516,1319
47,1.5697352194414218,-84.41466854724965,515,1317
48,1.603133841131665,-83.61071932299012,516,1315
49,1.6365324628219078,-82.80677009873061,516,1313
50,1.6699310845121509,-81.60084626234132,516,1310
51,1.703329706202394,-80.39492242595205,516,1307
52,1.7367283278926369,-79.18899858956276,516,1304
53,1.77012694958288,-77.98307475317348,516,1301
54,1.803525571273123,-76.37517630465445,516,1297
55,1.836924192963366,-74.7672778561354,516,1293
56,1.870322814653609,-73.15937940761636,516,1289
57,1.903721436343852,-71.55148095909732,516,1285
58,1.937120058034095,-69.54160789844852,516,1280
59,1.9705186797243381,-67.53173483779972,516,1275
60,2.0039173014145812,-65.52186177715092,517,1270
61,2.037315923104824,-63.51198871650212,516,1265
62,2.070714544795067,-61.10014104372355,516,1259
63,2.1041131664853103,-59.09026798307475,517,1254
64,2.137511788175553,-56.67842031029619,517,1248
65,2.170910409865796,-53.86459802538787,517,1241
66,2.2043090315560394,-51.45275035260931,517,1235
67,2.2377076532462823,-49.040902679830744,517,1229
68,2.271106274936525,-46.227080394922424,517,1222
69,2.304504896626768,-43.81523272214386,517,1216
70,2.3379035183170114,-41.00141043723554,517,1209
71,2.3713021400072543,-38.18758815232722,517,1202
72,2.404700761697497,-35.77574047954866,517,1196
73,2.4380993833877405,-32.96191819464034,517,1189
74,2.4714980050779833,-30.148095909732017,517,1182
75,2.504896626768226,-27.334273624823695,518,1175
